,uuid,user_id,docid,model,nonfactual_spans,evidence,error_type,summary,dialogue
0,4f078e37-1e86-425c-9770-db56cda00051,sanjana,13611734,gpt4-32k-0613,,,,"Richie and Clay are discussing the performance of a soccer player named Pogba, who they refer to as ""Pogboom."" They praise his striking ability, and note that they hope his good form lasts. They also mentioned that Pogba has matured this season and that the team''''s coach, Jose, trusts him. After a particularly impressive 60 minutes on the pitch, they agreed that Pogba deserved to score and were happy to see him rewarded.","Richie: Pogba
Clay: Pogboom
Richie: what a s strike yoh!
Clay: was off the seat the moment he chopped the ball back to his right foot
Richie: me too dude
Clay: hope his form lasts
Richie: This season he''''s more mature
Clay: Yeah, Jose has his trust in him
Richie: everyone does
Clay: yeah, he really deserved to score after his first 60 minutes
Richie: reward
Clay: yeah man
Richie: cool then 
Clay: cool"
1,1eea9cb1-0916-4547-91dc-808f342be3e9,sanjana,13716169,gpt4-32k-0613,,,,"Casey shared a photo of her nail art which she created using new nail polish. Both Amelia and Kristen admired it and asked Casey to do their nails too. However, Casey refused saying it was too time-consuming as it had taken her nearly four hours.","Casey: <file_photo>
Amelia: these are so nice!!! did you do them yourself?
Kristen: wooow amazing
Amelia: i want my nails done like that too!
Casey: yeah i did it myself :D got a new nail polish but damn it took me nearly 4 hours lol
Amelia: can you do it for us too?
Kristen: pretty please!
Casey: sorry you guys... it was a nightmare :( seriously 4 hours for nails is too much"
2,c8600806-0f6d-42d5-8960-b2b593ed06fc,sanjana,13716726,gpt4-32k-0613,,,,"The group of students, Shanon, Victor, Oliver, and Sid, express their joy that their teacher has been fired and is no longer employed at their school. They speculate the cause might be due to the teacher''''s inability to handle stress or potential substance abuse. There is also a mention of the teacher being physically thrown out of the school.","Shanon: Yeah. So what bout him?
Victor: He''''s no longer our teacher :)
Oliver: I''''m so happy :)
Sid: Me too!
Shanon: Bt y?
Sid: He got fired 2day and thrown out of school?
Oliver: Literally thrown out!
Shanon: What?!
Victor: I suppose he''''s had it and lost it.
Oliver: Or maybe had one too many ;)
Sid: Not. Our. Teacher. Anymore!"
3,acfc3bb5-3614-49e4-9cca-a9cc04bb45e7,sanjana,13716905,gpt4-32k-0613,,,,"Yvonne and Chiara, two nieces, inquire about the health of their uncle Sam from their aunt Lucy who informs them he''''s okay. The two girls express their concern for their uncle''''s health, receiving reassurances from their aunt. There''''s a brief mention of a family photo taken during a cousin''''s wedding in Chicago. The conversation shifts as Lucy asks about their love lives. Chiara reveals that Yvonne is dating a guy from Argentina, causing Yvonne some bashful embarrassment.","Yvonne: How''''s uncle Sam?
Lucy: He''''s OK, just came back from work.
Chiara: We were worried about him. Dad told us he was in hospital.
Lucy: It''''s nothing serious, don''''t worry! How kind of you to write to us!
Yvonne: Auntie, you''''re like our second parents!
Lucy: <3
Chiara: <file_photo>
Chiara: It''''s us in Chicago 2 weeks ago.
Lucy: Wow, you looked stunning! 
Yvonne: Thanks, it was at our cousins wedding.
Lucy: And how are you girls? Any nice boys in sight?
Chiara: Yvonne is dating a hot Argentinian!
Yvonne: Chiara, stop it!
Lucy: Oh, come on! Tell me the details!"
4,b1778795-e25b-4268-b095-94b37310a59f,sanjana,13810193,gpt4-32k-0613,,,,"Amelia thanks Lindsay for attending her child Elliot''''s birthday party, emphasizing that he enjoyed it. Lindsay affirms that her child, Finlay, also had a great time at the party. Amelia expresses that the party would not have been the same without their presence.","Amelia: Just wanted to say again, thank you so much for coming to Elliot''''s birthday party. He loved it! 
Lindsay: No worries, Finlay had a lovely time! thanks for having us!
Amelia: it wouldn''''t be the same without you guys xx
Lindsay: glad he had a good time! x"
5,973e6a82-cd24-45a0-9516-981673eeffc9,sanjana,13813011,gpt4-32k-0613,,,,"Nova and Dominic are discussing an internet trend where actor Timothe Chalamet is photoshopped into artworks. They find it amusing and compare Chalamet''''s doctored appearance to a young man from a 19th-century portrait. They joke that he looks as if he were an absinthe-drinking, Rimbaud poem-reading individual from that era.","Nova: Do know that people are photoshoping Timothe Chalamet into artworks? :D
Nova: It''''s hilarious, check it out: <file_other>
Dominic: lol XD
Dominic: it kinda looks good
Nova: Right? :D
Dominic: he looks like a typical young man from a 19th-century portrait
Nova: omg you''''re so right! :D he looks as if he read Rimbaud''''s poems and drank absinthe on a daily basis
Dominic: hahaha XD it''''s so accurate"
6,5b570fff-cc15-470e-82d9-b10774841d0a,sanjana,13819314,gpt4-32k-0613,,,,"Marco invited Daniel to Bologna, but Daniel mentioned he would only be in Bologna to change flights and would stay at the airport for 2 hours. Marco sees this as too short a time to meet. However, Simone offered to visit Marco in December for a weekend, to which Marco happily agreed.","Marco: Are you coming to Bologna this fall?
Daniel: accidentally, I am flying today thought Bologna but only became I have to change there
Marco: wow! how long will you stay at the airport?
Daniel: 2 hours only
Marco: ok, that may be too short for me to see you
Simone: I may come in December for a weekend, if you want to host
Marco: with pleasure! and always, as I always tell you :)
Simone: great, I''''ll let you know"
7,1bd69a63-fb80-473d-bfb4-5dfc1b4cc034,sanjana,13821034,gpt4-32k-0613,,,,"Edward, Lauren, and Kate are expressing their concerns about an upcoming business trip they have to go on. Edward is anxious about the meetings with clients, while Lauren is stressed about their boss accompanying them. Kate, although okay with their boss, dislikes the expo part of the trip where they have to interact with people who do not relate to their work. Despite their reservations, they all accept that they have to go anyway.","Edward: I dont wanna go on that business trip tomorrow
Lauren: I am stressed af
Kate: I don''''t think its gonna be that bad
Lauren: The boss is coming with us 
Kate: Yea well 
Kate: I am ok with him 
Edward: You think its gonna be just a few meetings with clients 😶
Kate: Not only
Kate: We''''re going to an expo 
Kate: I hate the expo stuff
Kate: We have to pretend to be nice
Kate: But people coming to our booth actually have nothing to do with what we''''re doing 
Lauren: True
Edward: Expos are not as stressful as meetings tho 
Kate: Ye well 
Kate: We cant complain rn 
Lauren: we have to go anyway 
Lauren: 😑😑😑
Kate: See y''''all there then "
8,35d2a012-921b-4e64-b177-5a6a0a80f205,sanjana,13821297,gpt4-32k-0613,,,,Ella asked her family to confirm their attendance and specify their dietary requirements via a provided link for the purpose of catering. Barbara stated she had done so and also filled out the information for their mom. Ella acknowledged Barbara''''s message.,"Ella: Hey my dear family, could i ask you to confrim that youre coming and if you have any dietary requirements through this link. I need this information for the catering company. HUgs <file_other>
Barbara: Done!!!
Eva: <3
Barbara: I flled out for mom too
Ella: I saw that
Barbara: (Y)"
9,2dfb9bcd-6e2b-4c3b-88a4-4b19aae99aae,sanjana,13821073,gpt4-32k-0613,,,,"After watching a Japanese horror movie late at night while home alone, Julie is left feeling scared and reaches out to her friends Rose and Paula for comfort. Rose criticizes Julie for watching a horror movie alone, despite being aware of their intensity. Paula offers to come over to Julie''''s house to keep her company, suggesting they watch a non-scary movie and have some cocoa. Julie expresses gratitude and invites Rose over as well for a spontaneous sleepover. Despite the late hour, Rose agrees to come, promising to bring cookies.","Julie: hey guys... could you just talk to me for a bit? I just watched this Japanese horror movie and I''''m home alone and a little uneasy (aka scared shitless)
Rose: Jesus, why on earth would you watch a Japanese horror, home alone at this hour?
Julie: Cause I''''m a fucking moron?
Rose: Cause you''''re a fuckin moron. 
Paula: 5 point for Gryffindor, my friend. But in your defense, I always thought you were quite unaffected by horror movies.
Julie: That''''s what I thought too!
Paula: So what kinda movie was it?
Julie: <file_other>
Rose: seems pretty generic
Julie: It''''s scarier than it looks.
Rose: you know that japanese horror are the worst ones, right?
Julie: I know that now.
Paula: If... you want me to come over I can.
Julie: omg really? <3
Paula: Yeah, sure, it''''s like 20 minutes by bike to your house, we can drink cocoa and watch ""when harry met Sally"" until we fall asleep ;)
Julie: Omg Thank you so much, I love you!
Rose: I wish I lived in your neighborhood :(
Paula: We can chip in for an Uber for you :D
Julie: Let''''s have a spontaneous sleepover :D
Rose: Oh, man it''''s late, but why the hell not.
Rose: I''''ll bring cookies for the cocoa :D
Julie: yay :D"
