,DocID,Dialogue,Model,Summary,origin
0,13809941,"Thelma: i dont have anything to wear
Louisa: your wardrobe is full of clothes
Thelma: but i have to look wonderful
Louisa: ok i can bring you my red velvet dress
Thelma: really? :O
Thelma: it would be great!
Louisa: no problem ;)",gpt4-32k-0613,"Thelma expresses concern over not having anything to wear, despite having a full wardrobe. She insists she needs to look wonderful. Louisa then offers to lend Thelma her red velvet dress, which Thelma appreciates.",FacEval
1,13814886,"Emma: How was New Year's Eve? :)
Josh: nice, just a bunch of close friends at my place
Emma: sounds cosy
Josh: yeah we had some wine and played board games
Emma: sounds lame :P
Josh: haha nope just getting older
Josh: huge parties and dance clubs are not that exciting anymore
Emma: oh come on you are not 70
Josh: not 20 either ;)
Emma: haha
Josh: how was yours?
Josh: I saw some pictures on fb, did you go away?
Emma: yeah we drove to the seaside, visited bunch of clubs
Emma: ended up on the beach for midnight
Josh: wasn't it freezing?
Emma: had my beer jacket on :D
Josh: lol
Emma: I have a cold now
Josh: that's the risk of a beer jacket!",gpt4-32k-0613,"Emma and Josh discuss how they spent New Year's Eve. Josh spent it indoors, hosting a small gathering with close friends, drinking wine and playing board games. Emma, on the other hand, had a more active celebration, visiting different clubs as well as ending up on the beach at midnight despite the cold. As a result, she has a cold now. They joke about the differences in their celebrations indicating perhaps their differing attitudes towards age.",FacEval
2,13680757,"Greg: Hi, honey. I need to stay after hours :-(
Betsy: Again?
Greg: I'm sorry!
Betsy: What about Johnny?
Greg: Well, could you pick him up? 
Betsy: What if I can't?
Greg: Betsy?
Betsy: What if I can't?
Greg: Can't you, really?
Betsy: I can't. Today I need to work long hours as well. Tuesdays are your days in the kindergarten.
Greg: Talk to you later. I'll see what I can do.
Betsy: You'd better think of something.
Greg: Oh. Just stop it now.",gpt4-32k-0613,"Greg informs Betsy he has to stay late at work and asks if she can pick up their child, Johnny, from kindergarten. Betsy is also working late and reminds Greg that Tuesdays are his responsibility. Greg says he will try to figure something out.",FacEval
3,13681171,"Tanya: are you better today?
Rosie: better, but not good
Tanya: it's great to hear that
Tanya: i was worried",gpt4-32k-0613,"Tanya checks on Rosie's condition which has improved, but she's still not fully recovered. Tanya expresses relief and concern.",FacEval
4,13682408,"Jenkin: hey what is your spirit animal?
Sophie: what?
Jenkin: go on?
Sophie: I dont know a fox lol
Jenkin: are you wiley?
Sophie: sometimes
Jenkin: I am a dolphin
Sophie: I think you are a bit mad like the mad hatter
Jenkin: I have been reading about animal spirits its quite good
Sophie: you will have to tell me about the fox.. do you decide what your animal is or does someone tell you?
Jenkin: There is a pack of cards and you choose the one that you are drawn to 
Sophie: oh right I would choose the Fox
Jenkin: well I didn't know but I was drawn to the dolphin
Sophie: oh
Jenkin: I will bring them over tomorrow
Sophie: oh yes please that will be great",gpt4-32k-0613,"Jenkin and Sophie discuss their respective spirit animals, with Sophie identifying with a fox and Jenkin, a dolphin. Jenkin mentions that he's been reading about spirit animals and they decide through a card pack which animal they're drawn to. He agrees to bring the cards to show Sophie the next day.",FacEval
5,13716777,"Ethan: somethin for Scott <file_photo>
Toby: haha, totally
Marshall: pretty much sums it up
Scott: you know you're exactly fuckin the same
Toby: oh we know honey bunny
Marshall: we just enjoy making fun of YOU
Ethan: xD
Scott: oh fuck y'all
Toby: <file_gif>",gpt4-32k-0613,"Ethan shares a photo presumably making fun of Scott. Toby and Marshall agree with the sentiment of the photo, stating that it accurately represents Scott. Scott retorts that they also share the same traits as shown in the photo, but Toby and Marshall reveal they enjoy teasing Scott specifically. There is a continuous banter between the group, ending with Scott playfully cursing at them and Toby responding with a GIF.",FacEval
6,13730863,"Taylor: Tomorrow, 8 PM, my house
Harry: Lol, whats up?
Taylor: My parents are away, 10 people confirmed already :D
Harry: Im sooo in
Taylor: You better, youd miss the party of the year!",gpt4-32k-0613,"Taylor invites Harry to a party at her house tomorrow at 8 PM while her parents are away. She informs him that 10 people are already confirmed to attend, and Harry responds positively, excited to join. Taylor insists it's going to be the party of the year.",FacEval
7,13680873,"Darcy: have you ever been to Egypt?
Adam: why would you think Ive been to Egypt?
Darcy: you travel a lot
Adam: if you say so, ive only been to a few countries. why do you ask?
Darcy: Aaron has a connecting flight in Cairo and might leave the airport for a few hours to pass the time.
Adam: I see. Should be worthwhile as long as hes careful.
Darcy: thats what im thinking",gpt4-32k-0613,"Darcy asked Adam if he had ever been to Egypt due to his extensive travel history. The reason behind her question was that their mutual acquaintance, Aaron, has a connecting flight in Cairo and was contemplating leaving the airport to sightsee for a few hours. Adam advised that it could be a worthwhile visit, as long as Aaron is cautious.",FacEval
8,13821297,"Ella: Hey my dear family, could i ask you to confrim that youre coming and if you have any dietary requirements through this link. I need this information for the catering company. HUgs <file_other>
Barbara: Done!!!
Eva: <3
Barbara: I flled out for mom too
Ella: I saw that
Barbara: (Y)",gpt4-32k-0613,Ella asked her family to confirm their attendance and specify their dietary requirements via a provided link for the purpose of catering. Barbara stated she had done so and also filled out the information for their mom. Ella acknowledged Barbara's message.,FacEval
9,13828281,"Jacob: Hey, guess what, top management is coming from France next week.
Alex: Hey, again? They just announced it?
Jacob: Yeah, we got an invitation via Outlook to the meeting.
Jacob: And mandatory formal dress code required.
Alex: OMG, I wonder what they're goin to announce this time.
Jacob: The usual, cost savings, lean office, lack of salary reviews...
Jacob: You know how it is, their visits never result in anything positive.
Alex: That's true, changes for the worse.",gpt4-32k-0613,"Jacob informs Alex that the top management from France will be visiting next week, as announced via an Outlook invitation requiring a formal dress code. Alex expresses surprise and curiosity about the potential announcement. Jacob speculates that the announcement might pertain to cost savings, lean office, and a lack of salary reviews, noting that their visits seldom result in positive changes. Alex agrees, suggesting that such changes are usually for the worse.",FacEval
