,DocID,Dialogue,Model,Summary,origin
0,13809941,"Thelma: i dont have anything to wear
Louisa: your wardrobe is full of clothes
Thelma: but i have to look wonderful
Louisa: ok i can bring you my red velvet dress
Thelma: really? :O
Thelma: it would be great!
Louisa: no problem ;)",gpt4-32k-0613,"Thelma expresses concern about not having anything suitable to wear. Louisa reminds her of her filled wardrobe, but Thelma insists she needs to look exceptional. Offering to help, Louisa suggests lending her red velvet dress to Thelma, who gratefully accepts the offer.",FacEval
1,13814886,"Emma: How was New Year's Eve? :)
Josh: nice, just a bunch of close friends at my place
Emma: sounds cosy
Josh: yeah we had some wine and played board games
Emma: sounds lame :P
Josh: haha nope just getting older
Josh: huge parties and dance clubs are not that exciting anymore
Emma: oh come on you are not 70
Josh: not 20 either ;)
Emma: haha
Josh: how was yours?
Josh: I saw some pictures on fb, did you go away?
Emma: yeah we drove to the seaside, visited bunch of clubs
Emma: ended up on the beach for midnight
Josh: wasn't it freezing?
Emma: had my beer jacket on :D
Josh: lol
Emma: I have a cold now
Josh: that's the risk of a beer jacket!",gpt4-32k-0613,"Emma and Josh discussed their respective New Year's Eve experiences. Josh enjoyed a quiet evening with close friends at his house, involving wine and board games, commenting that he's more mature now and not interested in large parties or clubs. Emma, on the other hand, had a more wild night out, going to several clubs at the seaside and celebrating midnight on the beach, despite the cold weather. This resulted in her catching a cold, which she blamed on the ""beer jacket"" she relied on for warmth.",FacEval
2,13680757,"Greg: Hi, honey. I need to stay after hours :-(
Betsy: Again?
Greg: I'm sorry!
Betsy: What about Johnny?
Greg: Well, could you pick him up? 
Betsy: What if I can't?
Greg: Betsy?
Betsy: What if I can't?
Greg: Can't you, really?
Betsy: I can't. Today I need to work long hours as well. Tuesdays are your days in the kindergarten.
Greg: Talk to you later. I'll see what I can do.
Betsy: You'd better think of something.
Greg: Oh. Just stop it now.",gpt4-32k-0613,"Greg informs Betsy he needs to stay after work, leading to a conflict as their son Johnny has to be picked up from kindergarten, which usually falls on Greg's responsibility on Tuesdays. Betsy also can't do it as she's working long hours. The conversation ends with an unsolved issue as to who will attend to Johnny.",FacEval
3,13681171,"Tanya: are you better today?
Rosie: better, but not good
Tanya: it's great to hear that
Tanya: i was worried",gpt4-32k-0613,Tanya asks Rosie how she is feeling and Rosie responds that she is better than before but still not great. Tanya expresses relief and tells Rosie she had been worried about her.,FacEval
4,13682408,"Jenkin: hey what is your spirit animal?
Sophie: what?
Jenkin: go on?
Sophie: I dont know a fox lol
Jenkin: are you wiley?
Sophie: sometimes
Jenkin: I am a dolphin
Sophie: I think you are a bit mad like the mad hatter
Jenkin: I have been reading about animal spirits its quite good
Sophie: you will have to tell me about the fox.. do you decide what your animal is or does someone tell you?
Jenkin: There is a pack of cards and you choose the one that you are drawn to 
Sophie: oh right I would choose the Fox
Jenkin: well I didn't know but I was drawn to the dolphin
Sophie: oh
Jenkin: I will bring them over tomorrow
Sophie: oh yes please that will be great",gpt4-32k-0613,"Jenkin and Sophie discuss their spirit animals, with Sophie saying she might be a fox and Jenkin identifying as a dolphin. Jenkin explains he discovered his spirit animal through a deck of cards that you pick one you are drawn to. Sophie shows interest, and Jenkin promises to bring the cards over for her to try it out.",FacEval
5,13716777,"Ethan: somethin for Scott <file_photo>
Toby: haha, totally
Marshall: pretty much sums it up
Scott: you know you're exactly fuckin the same
Toby: oh we know honey bunny
Marshall: we just enjoy making fun of YOU
Ethan: xD
Scott: oh fuck y'all
Toby: <file_gif>",gpt4-32k-0613,"Ethan shared a photo intending to make fun of Scott, which Toby and Marshall seem to agree with and find amusing. Scott protests, making a retort that they are all the same. However, Toby and Marshall affirm they enjoy making fun of Scott in particular, much to Scott's annoyance. Toby then shares a GIF.",FacEval
6,13730863,"Taylor: Tomorrow, 8 PM, my house
Harry: Lol, whats up?
Taylor: My parents are away, 10 people confirmed already :D
Harry: Im sooo in
Taylor: You better, youd miss the party of the year!",gpt4-32k-0613,"Taylor is planning a party at her house tomorrow at 8 PM while her parents are away and confirms that 10 people are already expected to attend. Upon knowing about the party, Harry expresses enthusiasm about joining as well.",FacEval
7,13680873,"Darcy: have you ever been to Egypt?
Adam: why would you think Ive been to Egypt?
Darcy: you travel a lot
Adam: if you say so, ive only been to a few countries. why do you ask?
Darcy: Aaron has a connecting flight in Cairo and might leave the airport for a few hours to pass the time.
Adam: I see. Should be worthwhile as long as hes careful.
Darcy: thats what im thinking",gpt4-32k-0613,"Darcy inquires if Adam has ever visited Egypt, citing his frequent travel habits. Adam clarifies that he's only been to a few countries and asks why she asked. Darcy explains that Aaron has a layover in Cairo, Egypt, might leave the airport to kill time, to which Adam consents as long as Aaron remains careful.",FacEval
8,13821297,"Ella: Hey my dear family, could i ask you to confrim that youre coming and if you have any dietary requirements through this link. I need this information for the catering company. HUgs <file_other>
Barbara: Done!!!
Eva: <3
Barbara: I flled out for mom too
Ella: I saw that
Barbara: (Y)",gpt4-32k-0613,"Ella asked her family to confirm their attendance and provide their dietary requirements through a provided link, which is needed for the catering company. Barbara confirmed that she has completed the form and also filled it out for their mom.",FacEval
9,13828281,"Jacob: Hey, guess what, top management is coming from France next week.
Alex: Hey, again? They just announced it?
Jacob: Yeah, we got an invitation via Outlook to the meeting.
Jacob: And mandatory formal dress code required.
Alex: OMG, I wonder what they're goin to announce this time.
Jacob: The usual, cost savings, lean office, lack of salary reviews...
Jacob: You know how it is, their visits never result in anything positive.
Alex: That's true, changes for the worse.",gpt4-32k-0613,"Jacob informs Alex that top management from France is coming to visit their office next week, as announced through an Outlook invitation. They are required to dress formally for the meeting. Alex expresses surprise and apprehension about the purpose of the visit. Jacob surmises that the management is likely to discuss cost-saving measures, lean office tactics, and potential freezes on salary reviews. Both express negative sentiments about these visits, suspecting the changes associated with them tend to be unfavorable.",FacEval
