,uuid,user_id,docid,model,nonfactual_spans,evidence,error_type,summary,dialogue
0,c5b1509d-b628-4b95-9d46-39d6d09a8738,sanjana,test_12,GPT4,,,,"Person 1 (Steven) noticed that Person 2 (Tony) looked unhappy. Tony admitted making a big mistake, revealing he got caught cheating on a test which made him feel ashamed. He explains his fear of failing due to his father''s expectations. However, Steven advises him to study hard and learn from his mistakes.","#Person1#: Hi, Tony. You look unhappy. What''s wrong?
#Person2#: Oh, Steven, I made a big mistake.
#Person1#: What happened?
#Person2#: I really wish I hadn''t done it.
#Person1#: What on earth are you talking about?
#Person2#: I got caught cheating. I feel so ashamed. The teacher saw me and told me I failed.
#Person1#: What were you thinking?
#Person2#: You know my father. If I fail, he''ll kill me. I have to do well.
#Person1#: But what you should do is study hard.
#Person2#: I know. . . I know. . . it''s all my fault. I feel awful that I didn''t study, and I cheated, and I got caught.
#Person1#: So long as you learn from your mistakes."
1,b8b918d6-e42d-4227-bab2-d82595e1586b,sanjana,test_120,GPT4,,,,"Person1 checks if Person2 has fed the puppies, which they have. Person1 then instructs Person2 to bathe the puppies later and reminds them about a vet appointment on Saturday. Person2 confirms they will do both and asks for the timing of the vet appointment, which is scheduled for eleven in the morning.","#Person1#: Have you given the puppies food yet?
#Person2#: Of course. I fed them today.
#Person1#: Good job! Please give them a bath later on today.
#Person2#: Sure, I''ll give them a bath.
#Person1#: Thanks. But don''t forget that they have a vet appointment this Saturday.
#Person2#: I remember. What time do they need to be there?
#Person1#: They need to be there at eleven in the morning.
#Person2#: All right. I''ll make sure and remember."
2,5bbedec9-91e7-4fc9-9ed7-266d47bd9dae,sanjana,test_123,GPT4,,,,"Person1 inquires about the method to contact Person2, who suggests either phone contact or email. Person2 further asks when Person1''s organization will make a decision, to which Person1 responds it will take approximately one week. Person2 shows appreciation for the interaction and anticipates a later meeting.","#Person1#: How can we get in touch with you?
#Person2#: Please call me or send e-mail. Could you please let me know when your organization can make a decision?
#Person1#: About one week.
#Person2#: I really appreciate your time and help. See you then."
3,597724f2-6d56-4ebc-9e07-123beec157ae,sanjana,test_127,GPT4,,,,"Person1 asked Mr. Smith (Person2) about his education, age, previous jobs, and salary. Mr. Smith revealed that he studied Economics at Yale University, is 27 years old, has worked at a bank for the last five years, and earned a weekly salary of $500 there.","#Person1#: Could you tell me what university you went to, Mr. Smith?
#Person2#: I went to Yale University.
#Person1#: Did you? And what did you study?
#Person2#: I have a B. A. in Economics.
#Person1#: Would you mind telling me how old you are?
#Person2#: I''m twenty-seven.
#Person1#: And could you tell me what other jobs you have had?
#Person2#: Yes, I have worked in a bank for the last five years.
#Person1#: And what was your salary at the bank?
#Person2#: I got $ 500 a week."
4,b094ce58-5993-44a7-ab7e-c870f15f255d,sanjana,test_132,GPT4,,,,"Person1 and Person2 discuss their idea of the perfect woman at a party. Person2 wants a woman who is affectionally servile and traditional, which Person1 criticizes as outdated, citing a study that reports many women don’t think their husbands do their share of housework. In contrast, Person1 idealizes a woman who''s outgoing, caring, and non-judgmental. Despite the disagreement, Person2 doesn''t change his viewpoint and decides to leave the party early.","#Person1#: Hey Rocky! You''ve been sitting around all night. Get out and dance with someone like that woman over there.
#Person2#: No way! She looks like the intellectual type.
#Person1#: Oh come on man! What kind of woman do you like?
#Person2#: I want a woman who''s affectionate and fulfills my every need, and that woman over there is just not the right type.
#Person1#: Hey. Where have you been? Times are changing, and you''re never going to find a woman who will shine your shoes and pick up after you all the time. Wake up.
#Person2#: Oh really? I meet a lot of women like that, but not at this party. [Oh.] I also prefer a woman who''ll stay home, cook, clean, and watch the kids.
#Person1#: Okay, but what are your household responsibilities once you get home from work?
#Person2#: Hmm. Eat, watch TV, and throw out the garbage.
#Person1#: Wait, wait, wait. I can''t believe I''m hearing this. In fact, you''re never going to get married. I recently read a news report that said 40 percent of women don''t think their husbands do their share around the house, and you seem to be that type.
#Person2#: Well, that''s the way I am, but what''s YOUR idea of the perfect woman?
#Person1#: Well, I like a woman who''s outgoing, caring, and non-judgmental about people''s differences, and it bothers me when people think their the center of the universe ... like someone I know.
#Person2#: Well, that''s nice for you, but that doesn''t change my point of view. I guess I''ll have to go home to a TV dinner and my dog, Rusty.
#Person1#: Hey, and if I stick with you, this is going to be a long, lonely night. Say hello to Rusty for me."
5,125445b3-5923-484d-bb84-f155cf165f89,sanjana,test_133,GPT4,enjoyed nice weather in March,#Person1#: : I suppose we should not complain. We had a fine March after all,Intrinsic_Error,"Person1 and Person2 discussed the heavy storm from the previous night that broke several windows and brought down a large tree branch in front of Person1''s house. However, no damage was done to Person1''s house. They both longed for better weather, noting that it was April and flowers had begun blossoming. They also mentioned that they had enjoyed nice weather in March.","#Person1#: It was a heavy storm last night, wasn''t it?
#Person2#: It certainly was. The wind broke several windows. What weather!
#Person1#: Do you know that big tree in front of my house? One of the biggest branches came down in the night.
#Person2#: Really? Did it do any damage to your home?
#Person1#: Thank goodness! It is far away from that.
#Person2#: I really hate storms. It''s about time we had some nice spring weather.
#Person1#: It''s April, you know. The flowers are beginning to blossom.
#Person2#: Yes, that''s true. But I still think the weather is terrible.
#Person1#: I suppose we should not complain. We had a fine March after all."
6,8383bd04-f9ca-4a75-a15c-052b36f3e5b3,sanjana,test_140,GPT4,,,,"Person1 forgives Person2 for not calling, who explains that they had been away fighting forest fires. Person1 then shares that they may be pregnant, to which Person2 reacts positively. After it is confirmed by Person3 that Person1 is pregnant, Person2 questions the accuracy of the conception date since he was away during that time. He concludes to Person1 the baby may not be his, leaving Person1 in shock.","#Person1#: Honey, of course I forgive you! I love you so much! I''ve really missed you. I was wrong to get upset over nothing. 
#Person2#: I''m sorry I haven''t called or anything, but right after you decided you wanted a break, I was called up north to put out some major forest fires! I was in the middle of nowhere, working day and night, trying to prevent the blaze from spreading! It was pretty intense. 
#Person1#: Oh, honey, I''m glad you''re okay! But I have some exciting news. . . I think I''m pregnant! 
#Person2#: Really? Wow, that''s amazing! This is great news! I''ve always wanted to be a father! We''ll go to the doctor first thing in the morning! 
#Person3#: We have your test results back and, indeed, you are pregnant. Let''s see here. . . everything seems to be in order. Your approximate due date is October twenty-seventh two thousand and nine, so that means that the baby was conceived on February third, two thousand and nine. 
#Person2#: Are you sure? Are these things accurate? 
#Person3#: Well, yes sir, they are. 
#Person1#: What''s wrong? Why are you asking these questions? 
#Person2#: This baby isn''t mine! I was away the first week of February at a training seminar! 
#Person1#: I. . . I. . . no, it can''t be. . . "
7,98b98222-d316-460b-9f00-abf5122ef999,sanjana,test_147,GPT4,,,,"Person1 and Person2 are arguing about whose fault it was that they got in trouble and lost. Person1 blames Person2 for trying to bribe a policeman, while Person2 blames Person1 for not asking for directions and causing them to get lost. They also argue about who is to blame for their late arrival, debating whether driving or taking the train would have been the better option.","#Person1#: This is all your fault. This wouldn''t have happened if you hadn''t tried to give money to that policeman.
#Person2#: Well, if you''d listen to me when I suggested asking someone for directions, we wouldn''t have got lost in the first place, would we?
#Person1#: Oh, go on, blame it all on me. You were the one who was driving when we got stopped by the police. If you hadn''t been speeding, we wouldn''t have been stopped at all.
#Person2#: That''s not fair. We were doing fine until you suddenly decided you knew a quicker way.
#Person1#: Oh, come on, I only suggest it because we were running so late. We would have been fine if you hadn''t suggested driving instead of taking the train.
#Person2#: No, we would have been fine if you had remembered to book tickets."
8,6688402b-e1d7-4510-9272-29eb6b3c6d82,sanjana,test_191,GPT4,,,,"Person1 inquired about their test results, leading Person2 to request an in-person appointment for further discussion. Although not explicitly confirmed, Person2 implied that the tests were unclear which raised concern for Person1. Person2 sought to reassure them and scheduled for an afternoon appointment, suggesting they could bring their husband for support.","#Person1#: Hi, I was wondering if I could get my test results from the other day. 
#Person2#: Yes, I would like to schedule an appointment for you to come in and talk with me. 
#Person1#: Is something wrong with me? 
#Person2#: No, sometimes the test results aren''t clear and we need to do more to get a clearer picture. 
#Person1#: Can we talk about it now? 
#Person2#: I would if I knew anything for sure, but I want to take a second look. 
#Person1#: When can I come and see you? 
#Person2#: You can come in this afternoon. If you would feel better, bring your husband with you. 
#Person1#: Now I know that something bad is up! 
#Person2#: Just relax. We will talk about it this afternoon. "
9,457eb0b4-bf68-49fc-97f8-778670dc7fd0,sanjana,test_194,GPT4,,,,"Person1 realizes they have misplaced their cellphone and can''t find it in the hotel room. Person2 tries calling it, but it seems the battery is dead. They contemplate not taking the phone to a wedding they are due to leave for in 15 minutes, but Person2 insists that it is needed as her sister might call. Eventually, Person1 remembers leaving the phone at a bakery. Person2 decides to inform her sister about the lost phone and then call the bakery in hopes the phone could be retrieved before they leave for the wedding.","#Person1#: Linda, I can''t find my cellphone anywhere in this hotel room! Could you call it?
#Person2#: OK, I''m calling it.
#Person1#: I don''t hear anything. I think the batteries dead.
#Person2#: Oh, no? How are you going to find it? We have to leave for the wedding in 15 minutes.
#Person1#: Well, maybe I won''t take my cellphone to the wedding. Do I need it?
#Person2#: Yes, you need it. My sister might call you to tell us how the kids are doing. Maybe it''s in the car.
#Person1#: I remember where it is. I left it in the bakery where we ate breakfast.
#Person2#: OK, well, I need to call my sister to tell her you lost your phone. Then I''ll call the bakery. If the bakery is still open, maybe we can pick it up before we go to the wedding. Please keep your phone in your pocket next time."
