,uuid,user_id,docid,model,nonfactual_spans,evidence,error_type,summary,dialogue
16,3cc5013c-4080-413e-aa5f-aec0dc93e349,sanjana,13681870,gpt4-32k-0613,,,,"Miley expresses her fatigue and lack of desire to go to work the next day, stating she needs some rest. Aaron echoes her sentiments, wishing for a holiday. He encourages her to keep going.","Miley: don''t want to go to work tomorrow!
Miley: wanna sleep!!!
Miley: need some rest :(
Aaron: know what u feelin
Aaron: really want some holiday already
Miley: :(
Aaron: fighting girl!"
27,c094b128-08b6-4187-91cf-c44d9ab25baa,sanjana,13681871,gpt4-32k-0613,,,,"Andy informs Sue that he will be working late until 4 and will arrive by 8, to which Sue responds with understanding and no issue.","Andy: Working late til 4 xx
Sue: no worries xx
Andy: be there by 8 xx
Sue: No probs babes xx"
32,149452c6-bf79-47b0-b0ee-ecfcf99caa7f,sanjana,13681429,gpt4-32k-0613,,,,"Cass confirmed with Jordan that he received his birthday card and money, which included £20. Jordan showed gratitude and apologized for not reaching out sooner. Cass selected a Thomas the Tank engine themed-card for Jordan because she believed he still liked it. Jordan confirmed his love for the character but requested a football-themed card next time since he''s 11. Both ended the conversation with expressions of love.","Cass: Hi darling, did you get your birthday card and money on time?
Jordan: hello Nanna! Thanks for the £20. Sorry I didn''t ring you before.
Cass: you still like Thomas the Tank engine don''t you? I picked it specially.
Jordan: Yes, Nanna. I will always love him! Next time, get me a football one or something. I mean, I''m 11 now!
Cass: I know, you are so grown up. Love you xxxxx
Jordan: Love you, Nan xx"
34,a8c98d99-c964-46d0-a51c-bca6569900c1,sanjana,13681439,gpt4-32k-0613,,,,"Phoebe can''t go out because her mother is angry with her for using and breaking her expensive perfume. The incident resulted in their whole house smelling strongly of the perfume, which Phil finds amusing but Phoebe doesn''t.","Phil: can you go out today?
Phoebe: no
Phoebe: my mum is still angry
Phil: why?
Phoebe: i used her perfume
Phil: so what?
Phoebe: i used it and broke it
Phil: really?
Phil: xd lol
Phoebe: not funny
Phoebe: it was very expensive
Phoebe: besides, our whole house stinks
Phil: so it was not so beautiful perfume?
Phoebe: it was, but not 100 ml for 80 square meters"
36,48d59334-9492-4cc1-a5ce-1b0378e34a1f,sanjana,13681441,gpt4-32k-0613,,,,"Joanna shares with Merve that their mutual acquaintance Lewandowska has been hospitalized due to measles. As a result, all those who have been in contact with her are urged to get vaccinated. Merve hasn''t seen her recently, but Joanna has since Lewandowska is her thesis mentor. Joanna plans to get vaccinated before work on the 18th, despite her busy schedule. Vaccinations are being organized in the main building from the 17th to the 19th.","Joanna: They are sending emails about Lewandowska.
Merve: What happened?
Joanna: <file_photo> 
Merve: Wooow!
Joanna: She is hospitalized because she has measles.
Merve: She had what?
Joanna: Anyone who had contact with her within the last couple of days must get vaccinated.
Merve: Luckily I didn''t see her since the last semester...
Joanna: I did, she is my thesis mentor :(
Merve: What will you do?
Joanna: They are organizing vaccinations in the main building from 17th until 19th.
Merve: You have to go!
Joanna: I know... And I just started working so I really don''t have a lot of time.
Merve: Come on, this is really important.
Joanna: I will try to do it before work on 18th, hopefully I won''t lose the entire day..."
37,3db1d56f-7cb9-4b23-9c8c-3e1f401d42cd,sanjana,13681482,gpt4-32k-0613,Filip wasn't around,"Derek : McCarthy: Filip - are you around? Would you have an Android cable I could borrow for an hour? I'm almost out of charge and I have a power pack  but forgot my cable
Tommy: : I am in Poland but can ring my wife and she will give you one",Intrinsic_Error,"Derek McCarthy asked if he could borrow an Android cable from Filip, as he had forgotten his and his phone was almost out of charge. However, Filip wasn''t around, but his friend Tommy offered to help. Tommy, who was in Poland, offered to ask his wife, Paulina, to provide a cable. He informed Derek that although she was at work, she would be home around 8:15 pm. Derek thanked Tommy for his help and agreed to the plan.","Derek McCarthy: Filip - are you around? Would you have an Android cable I could borrow for an hour? I''m almost out of charge and I have a power pack  but forgot my cable
Tommy: I am in Poland but can ring my wife and she will give you one
Tommy: Do you want me to?
Tommy: 67 glenoaks close
Derek McCarthy: That would be great if you could!! Otherwise I''m sitting here in the dark for an hour <emoticon_smile>
Tommy: Put it in gps and start driving
Derek McCarthy: <emoticon_thumbup>
Tommy: She might be at work for next 15 min but will help you for sure
Derek McCarthy: Thanks a lot mate
Tommy: Sent her msg. She will give it to you. Approx time when she will be at home is 8:15 pm
Derek McCarthy: Thanks again!! What''s your wife''s name  again??
Tommy: Paulina"
38,45c5ceec-5e80-46c0-acd5-e7e8a5209d9e,sanjana,13681509,gpt4-32k-0613,,,,"Abigail reminds Damien that it''s Sunday, which means they are going to church. She tells him to wear a coat and tie out of respect for God and others. Damien, while apprehensive, jokingly remarks about Sundays being only once a week. Abigail asks Damien to be ready on time.","Abigail: It''s Sundaay.
Damien: So?..
Abigail: You know what that means.
Damien: Hmm no I don''t x)
Abigail: Sunday means we go to church~.
Damien: Oh, yeah..
Abigail: Don''t forget to put on a coat and tie.
Damien: A coat and tie?.. Why?
Abigail: To show respect to God and others.
Damien: Omg..I''m glad Sunday is only once a week.
Abigail: I hope God didn''t hear that.
Damien: He''ll forgive me 
Abigail: Just be ready on time please."
39,56d9e1bc-3cd8-4074-a9b2-4aad1679fb6e,sanjana,13681516,gpt4-32k-0613,,,,"Frank and Zoe are expressing their love and well wishes for each other, likely at the start of the day. Zoe also sends Frank a video file.","Zoe: <file_video>
Frank: Love you!
Zoe: :-*
Frank: Have a good day, babe :-*"
40,0cb3ad47-eccd-4ae8-b635-ade086b44598,sanjana,13681560,gpt4-32k-0613,,,,"Hayden is facing a dilemma about his future, primarily driven by his fear of not earning enough money. He is interested in African Studies, but is considering becoming a flight attendant due to his language and swimming skills. However, he is apprehensive about the risk of flight accidents. Margaret reassures him and highlights the travel opportunities the job would provide.","Hayden: Anyway I have 1 month to write my thesis. And then I need to decide what studies I should choose and I have a problem because I don''t know what I can do in the future to make good money
Margaret: You''ll find something
Hayden: And the only studies I''m interested in are African studies but I''m not sure I can make big money later on haha except for working in the embassy or something like that. I was thinking about working as a flight attendant. It would be easy for me to get that job since I can swim (and here it''s obligatory) I''m even a water rescuer. I know English italian and polish and a bit of german.
Margaret: So go ahead for it
Hayden: But to be honest , I don''t think so that job is so great. I can''t work there forever and I''m not that sure I wanna risk every time hahah since flight accidents happen
Margaret: Hahahaha you shouldn''t think about that
Hayden: But I don''t wanna die hhahahahah
Margaret: It would be good you would get to travel a lot"
41,6ad7267d-d27a-4600-9b3d-93f6f9037020,sanjana,13681886,gpt4-32k-0613,She is concerned about possibly spreading the disease to her students,"Stella: : I wanted to come and visit you but I didn't want to get infected by the disease that you've been carrying
Stella: : You know... I'm a teacher, I could spread the disease",Intrinsic_Error,"Stella, a teacher, reaches out to her friend Sandra, who has been ill. She is concerned about possibly spreading the disease to her students. Sandra has started to feel better thanks to some effective medication. Stella offers to take Sandra to the cinema once she fully recovers, wanting to cheer her up. Sandra expresses her desire to watch an action movie, something contrasting her current, bedridden situation. They end their conversation optimistically, promising to reconnect soon.","Stella: Hi Sandra
Stella: Did you recover finally?
Stella: I wanted to come and visit you but I didn''t want to get infected by the disease that you''ve been carrying
Stella: You know... I''m a teacher, I could spread the disease
Sandra: Hello my dear
Sandra: I''m getting better every day but there''s still something left
Sandra: I have some effective medicines now
Sandra: All the drugs that doctors have been prescribing to me so far were useless
Sandra: Now the difference in my well-being is surprisingly considerable
Stella: It''s very nice to here that, I''m so happy for you!
Stella: Hope you''ll be in a perfect health soon
Stella: I want to take you to the cinema
Stella: They have a brilliant repertoire now
Sandra: Oh, I dream of getting out of the house!
Sandra: I used to love laying in the bed for hours, but now I hate it
Stella: I understand
Stella: Just tell me, what kind of movie would you like to watch?
Stella: A romantic comedy, horror, fantasy or something else?
Stella: I''ll do some research in my friends'' midst and try to choose the best option :)
Sandra: I''m dreaming of watching some action movie
Sandra: With all the special effects and dynamic action
Sandra: Something that would be the opposite of my current situation :)
Stella: You got it! :)
Stella: I''ll find something special for you
Stella: So I''m keeping my fingers crossed for your quick recovery
Stella: Talk to you soon! :)
Sandra: Thanks, Stella, my darling. You made my day :)
Sandra: Bye bye"
