,uuid,user_id,docid,model,nonfactual_spans,evidence,error_type,summary,dialogue
0,b6273d21-9a0c-4033-8e2b-908d0a98c143,sanjana,13611370,gpt4-32k-0613,,,,Derek asks Judy if she can feed his animals on Friday and Saturday as she isn''t leaving for the weekend. She agrees and Derek plans to give her his keys on Thursday. He also promises to provide her with more details later.,"Derek: Judy, r you leaving for the weekend?
Judy: Nah
Derek: So can you feed my animals on Friday and Saturday?
Judy: sure, no problem
Derek: Thank you :) Maybe on Thursday I would give you my keys?
Judy: Ok
Derek: Thanks :) Later I will tell you the details :)
Judy: surely"
1,ec577599-01d2-4ed5-af77-245326c3ac8b,ann_ccry,13611370,gpt4-32k-0613,lans to,Maybe,Intrinsic_Error,Derek asks Judy if she can feed his animals on Friday and Saturday as she isn''t leaving for the weekend. She agrees and Derek plans to give her his keys on Thursday. He also promises to provide her with more details later.,"Derek: Judy, r you leaving for the weekend?
Judy: Nah
Derek: So can you feed my animals on Friday and Saturday?
Judy: sure, no problem
Derek: Thank you :) Maybe on Thursday I would give you my keys?
Judy: Ok
Derek: Thanks :) Later I will tell you the details :)
Judy: surely"
2,22a9198f-5a54-4d53-a630-552083d5b350,ann_ccry,13611426,gpt4-32k-0613,both,principally the night,Intrinsic_Error,"Poppy and Harry both prefer Lisbon, especially enjoying its nightlife. While Harry likes to indulge in partying, Poppy admits she doesn''t due to her dislike for crowds and intoxicated people. Poppy''s idea of fun is primarily based around travelling and sightseeing, which Harry also ranks high on his list of preferences.","Poppy: Yeah. I definitely prefer Lisbon
Harry: Yeah me too, principally the night
Poppy: To party?
Harry: Yup
Poppy: I don''t like parties. They make me tired
Harry: Really?!
Poppy: I don''t like crowd, drunk people
Harry: Oh OK. It makes sense. That''s the worst part of it. What you like to do for having fun?
Poppy: Travelling. Sightseeing
Harry: For sure that''s on the top of my list too"
3,ef458bfe-4bef-430c-8d97-8efc30b21ded,ann_ccry,13611442,gpt4-32k-0613,,,,"Helen was trying to reach Simon, but he was unavailable because he was on the phone. Once they connected, Helen asked Simon to bring her some tissues because the toilet paper had run out. He agreed with a laugh.","Helen: Hey, Simo, are you there?
Simon: Yep babe, what''s up?
Helen: I was calling you before...
Simon: Sorry I was on the phone, I didn''t hear you... Tell me.
Helen: It''s a bit embarrassing... The toilet paper is finished, could you fetch me some tissues, please?
Simon: Hahaha sure, no worries!"
4,e861c609-240f-416e-8a33-c0188daee831,ann_ccry,13611442,gpt4-32k-0613,,,,"Helen was trying to reach Simon, but he was unavailable because he was on the phone. Once they connected, Helen asked Simon to bring her some tissues because the toilet paper had run out. He agreed with a laugh.","Helen: Hey, Simo, are you there?
Simon: Yep babe, what''s up?
Helen: I was calling you before...
Simon: Sorry I was on the phone, I didn''t hear you... Tell me.
Helen: It''s a bit embarrassing... The toilet paper is finished, could you fetch me some tissues, please?
Simon: Hahaha sure, no worries!"
5,59ea2d5a-7e8b-4d65-8d6a-02f8711ff867,ann_ccry,13611508,gpt4-32k-0613,,,,"Martha, seeing Ophelia''s profile picture, is intrigued by her lenses and queries about where she got them from. Ophelia reveals they''re from Crazy Lenses, mentioning their cost-effectiveness and swift delivery. Martha expresses gratitude and intends to check out the products.","Martha: Hey, can I ask you a question?
Ophelia: Do we know each other?
Martha: We don''t, but do you mind if I ask you about the lenses from your profile picture? they are awesome and I would like to buy the similar ones
Ophelia: it''s from Crazy Lenses. They have quite reasonable prices and very fast shipping.
Martha: Thanks!!! I''ll check them :)
Ophelia: No problem :)"
6,660f2253-fa69-4881-9666-6a0d69ef9a2c,ann_wjbp,13611370,gpt4-32k-0613,,,,Derek asks Judy if she can feed his animals on Friday and Saturday as she isn''t leaving for the weekend. She agrees and Derek plans to give her his keys on Thursday. He also promises to provide her with more details later.,"Derek: Judy, r you leaving for the weekend?
Judy: Nah
Derek: So can you feed my animals on Friday and Saturday?
Judy: sure, no problem
Derek: Thank you :) Maybe on Thursday I would give you my keys?
Judy: Ok
Derek: Thanks :) Later I will tell you the details :)
Judy: surely"
7,650c80ed-35e6-4498-8314-6d8f0a85aa99,ann_wjbp,13611426,gpt4-32k-0613,"both prefer Lisbon, especially enjoying its nightlife","Harry :  Yeah me too, principally the night",Intrinsic_Error,"Poppy and Harry both prefer Lisbon, especially enjoying its nightlife. While Harry likes to indulge in partying, Poppy admits she doesn''t due to her dislike for crowds and intoxicated people. Poppy''s idea of fun is primarily based around travelling and sightseeing, which Harry also ranks high on his list of preferences.","Poppy: Yeah. I definitely prefer Lisbon
Harry: Yeah me too, principally the night
Poppy: To party?
Harry: Yup
Poppy: I don''t like parties. They make me tired
Harry: Really?!
Poppy: I don''t like crowd, drunk people
Harry: Oh OK. It makes sense. That''s the worst part of it. What you like to do for having fun?
Poppy: Travelling. Sightseeing
Harry: For sure that''s on the top of my list too"
8,195b4835-e3a9-459b-acd5-6f4b22ed539f,ann_wjbp,13611442,gpt4-32k-0613,he was unavailable,I didn't hear you,Intrinsic_Error,"Helen was trying to reach Simon, but he was unavailable because he was on the phone. Once they connected, Helen asked Simon to bring her some tissues because the toilet paper had run out. He agreed with a laugh.","Helen: Hey, Simo, are you there?
Simon: Yep babe, what''s up?
Helen: I was calling you before...
Simon: Sorry I was on the phone, I didn''t hear you... Tell me.
Helen: It''s a bit embarrassing... The toilet paper is finished, could you fetch me some tissues, please?
Simon: Hahaha sure, no worries!"
9,02f228f5-435e-4906-bb98-1452bd51d708,ann_wjbp,13611508,gpt4-32k-0613,the products,I'll check them,Extrinsic_Error,"Martha, seeing Ophelia''s profile picture, is intrigued by her lenses and queries about where she got them from. Ophelia reveals they''re from Crazy Lenses, mentioning their cost-effectiveness and swift delivery. Martha expresses gratitude and intends to check out the products.","Martha: Hey, can I ask you a question?
Ophelia: Do we know each other?
Martha: We don''t, but do you mind if I ask you about the lenses from your profile picture? they are awesome and I would like to buy the similar ones
Ophelia: it''s from Crazy Lenses. They have quite reasonable prices and very fast shipping.
Martha: Thanks!!! I''ll check them :)
Ophelia: No problem :)"
10,741ca003-607f-4dab-9173-e780ea38d9a9,ann_wjbp,13611832,gpt4-32k-0613,,,,"Sam expresses concern that a guy doesn''t like her because he doesn''t talk to her. However, Cathy reassures her that the guy is simply shy and does show interest in her when she''s unaware. Encouraged by both Cathy and Kate''s observations, Sam decides to talk to him the next day.","Sam: I don''t think he likes me.
Cathy: Of course he likes you.
Sam: How do u know. He''s not talking with me at all ;(
Cathy: He''s shy. He''s looking at u when u don''t see
Sam: Really? U sure?
Cathy: yes, even Kate noticed.
Sam: Hope u r right. I''ll talk with him tomorrow then.
Cathy: Go ahead, girl :D"
