,uuid,user_id,docid,model,nonfactual_spans,evidence,error_type,summary,dialogue
0,b8d502c5-1fa8-4b54-930b-8203eac9a9f9,sanjana,13611370,gpt4-32k-0613,,,,"Derek asked Judy if she could feed his animals on Friday and Saturday as she''s not leaving for the weekend. Judy agreed and Derek planned to hand over his keys to her on Thursday. He also told her that he would provide further details later, to which she agreed.","Derek: Judy, r you leaving for the weekend?
Judy: Nah
Derek: So can you feed my animals on Friday and Saturday?
Judy: sure, no problem
Derek: Thank you :) Maybe on Thursday I would give you my keys?
Judy: Ok
Derek: Thanks :) Later I will tell you the details :)
Judy: surely"
1,47ff76cb-c241-435f-8e7f-c72db969bcaf,sanjana,13611426,gpt4-32k-0613,,,,"Poppy and Harry both share a preference for Lisbon, especially the nightlife. However, while Harry enjoys parties, Poppy doesn''t enjoy crowds or intoxicated individuals. Instead, she prefers more tranquil activities such as travelling and sightseeing, which Harry also enjoys.","Poppy: Yeah. I definitely prefer Lisbon
Harry: Yeah me too, principally the night
Poppy: To party?
Harry: Yup
Poppy: I don''t like parties. They make me tired
Harry: Really?!
Poppy: I don''t like crowd, drunk people
Harry: Oh OK. It makes sense. That''s the worst part of it. What you like to do for having fun?
Poppy: Travelling. Sightseeing
Harry: For sure that''s on the top of my list too"
2,63d06a97-c9f1-490f-bbfd-4b4a0d5586f2,sanjana,13611442,gpt4-32k-0613,,,,"Helen reached out to Simon, let him know she had been trying to call him, and then requested him to bring some toilet paper as it had run out. Simon, who missed her call due to being on the phone, agreed to fetch the tissue paper, laughing off the awkward situation.","Helen: Hey, Simo, are you there?
Simon: Yep babe, what''s up?
Helen: I was calling you before...
Simon: Sorry I was on the phone, I didn''t hear you... Tell me.
Helen: It''s a bit embarrassing... The toilet paper is finished, could you fetch me some tissues, please?
Simon: Hahaha sure, no worries!"
3,a65985ea-6cc5-414c-8112-81b45a9dca51,sanjana,13611508,gpt4-32k-0613,,,,"Martha, who does not know Ophelia, reaches out to ask about the lenses Ophelia wears in her profile picture. Ophelia tells Martha the lenses are from Crazy Lenses, a company with reasonable prices and fast shipping. Martha thanks Ophelia for the information.","Martha: Hey, can I ask you a question?
Ophelia: Do we know each other?
Martha: We don''t, but do you mind if I ask you about the lenses from your profile picture? they are awesome and I would like to buy the similar ones
Ophelia: it''s from Crazy Lenses. They have quite reasonable prices and very fast shipping.
Martha: Thanks!!! I''ll check them :)
Ophelia: No problem :)"
4,21546deb-2628-464e-b81c-208d7f3d432e,sanjana,13611559,gpt4-32k-0613,,,,"Rashi is confused about choosing a career due to the many options available. Her teacher encourages her to select a career based on her interests and passion, and reminds her of the importance of balancing duties and success. She suggests choosing a career that interests Rashi, gaining experience, and then progressing and expanding her scope. Rashi appreciates this advice and thanks her teacher.","Teacher: Rashi, why are you so low? 
Rashi: Ma’am I’m a bit confused about my career. 
Teacher: What is your confusion?
Rashi: I was discussing with my friends about the career options. 
Teacher: Hmm.
Rashi: There are too many to choose from.
Teacher: Choose a career based on what truly interests you. 
Rashi: I have many that interests me. How does it determine the career?
Teacher: The passion you have for what you do drives you to success. 
Rashi: But what about earnings?
Teacher: Remember at some point of time one should learn to balance  between duties and success.
Rashi: How do I do that?
Teacher: Choose a career which interests you, get experienced and try to progress and widen the scope after a while.
Rashi: Hmm, ok.
Teacher: Something like earn and learn sort of..
Rashi: You are so right. I will remember this.
Teacher: So hope I managed to answer your questions.
Rashi: Yes mam! Thank you very much! 
Teacher : You are most welcome, Rashi."
5,707b1720-ccbd-4ed7-90dd-26a20c67b603,sanjana,13611640,gpt4-32k-0613,,,,"Ann is seeking advice from Fiona on what to prepare for her dad''s 50th birthday. Her dad is not a fan of surprise parties or heights, but enjoys military movies. Fiona suggests a family activity like racing or horse riding, while taking into account his interests, and proposes something like paintball as a fun, team-oriented activity. Despite hesitations about how her mom might react, Ann considers this a good idea for the occasion.","Ann: What should I prepare 4 my dad''s birthday?
Fiona: How old is he?
Ann: turning 50
Fiona: wow, a round birthay, it must be sth big
Ann: I know, but I don''t have any idea
Fiona: surprise party?
Ann: My dad hates dose
Fiona: ok, so what does he like?
Ann: I don''t know, he watch a lot of military movie
Fiona: well, a movie ticket is probably not what you thought of
Ann: not even close
Fiona: Maybe some event. U know like bungee jumping or parachute jump
Ann: that would be nice but he''s afraid of heights
Fiona: damn, maybe sth you can do together
Ann: well I was plannig dinner with the whole family, but that''s not enough
Fiona: yes, there should be sth special also
Ann:  I know, but I''m out of 
Fiona: Let me think. Nothing with heights but maybe sth on the ground? Racing? Horse riding?
Ann: ok, it''s a good direction. Maybe some team play, we could go with the whole family
Fiona: u said he likes military... maybe paintball? 
Ann: I don''t know how my mum will react but I like it :D
Fiona: I guess she''s not into military
Ann: not really, no. But it''s dad''s birthday so she has to accept it. Thx for the help
Fiona: no problem"
6,e5b713fb-3e7e-46c9-bf74-d54b5ad7aa96,sanjana,13611734,gpt4-32k-0613,performance of a soccer player,Not found,Extrinsic_Error,"Richie and Clay are discussing the performance of a soccer player named Pogba, who they refer to as ""Pogboom."" They praise his striking ability, and note that they hope his good form lasts. They also mentioned that Pogba has matured this season and that the team''s coach, Jose, trusts him. After a particularly impressive 60 minutes on the pitch, they agreed that Pogba deserved to score and were happy to see him rewarded.","Richie: Pogba
Clay: Pogboom
Richie: what a s strike yoh!
Clay: was off the seat the moment he chopped the ball back to his right foot
Richie: me too dude
Clay: hope his form lasts
Richie: This season he''s more mature
Clay: Yeah, Jose has his trust in him
Richie: everyone does
Clay: yeah, he really deserved to score after his first 60 minutes
Richie: reward
Clay: yeah man
Richie: cool then 
Clay: cool"
7,1632add2-b82d-4404-8d0e-d30ed74e6ec9,sanjana,13611734,gpt4-32k-0613,on the pitch,Not found,Extrinsic_Error,"Richie and Clay are discussing the performance of a soccer player named Pogba, who they refer to as ""Pogboom."" They praise his striking ability, and note that they hope his good form lasts. They also mentioned that Pogba has matured this season and that the team''s coach, Jose, trusts him. After a particularly impressive 60 minutes on the pitch, they agreed that Pogba deserved to score and were happy to see him rewarded.","Richie: Pogba
Clay: Pogboom
Richie: what a s strike yoh!
Clay: was off the seat the moment he chopped the ball back to his right foot
Richie: me too dude
Clay: hope his form lasts
Richie: This season he''s more mature
Clay: Yeah, Jose has his trust in him
Richie: everyone does
Clay: yeah, he really deserved to score after his first 60 minutes
Richie: reward
Clay: yeah man
Richie: cool then 
Clay: cool"
8,a89d5692-ed74-47eb-9309-c6c4311d3b6d,sanjana,13611740,gpt4-32k-0613,,,,"Nadia and Jannet are catching up after a party at Jannet''s place the previous night. Both have just woken up and are planning to have breakfast. They enjoyed the gathering and plan to do it again. Jannet suggests they should probably wait for their neighbors to forget about the loud noise from the party before they host another one. Nadia agrees and mentions she is still in a mood for dancing, prompting Jannet to suggest they go to a disco next time.","Nadia: heeeeey how are you?
Jannet: hey, I''m cool, we just got up and now we''re doing some breakfast :D how are you guys?
Nadia: cool, we just woke up like 20min ago and will eat something too
Jannet: nice :D thank you guys for coming yesterday, it was really nice to have you here, I hope you had fun
Nadia: of course we had, I hope we will repeat it soon :)
Jannet: sure, we just have to wait for the neighbours to forget about us, cause it was fuckin loud yesterday xD
Nadia: hahahah yeah it was
Nadia: but it was really cool, I''m still in a very dancing mood
Jannet: perfect, the next time we''re going to the disco then :D
Nadia: sounds cool ;)"
9,d8da16ac-4be6-4d47-a44c-cf7e7c0ae4b2,sanjana,13611832,gpt4-32k-0613,,,,"Sam is worried that a certain individual doesn''t like her because he doesn''t talk to her. Cathy reassures her, attributing his silence to shyness and mentioning that he looks at Sam when she isn''t looking. Cathy also mentions that someone named Kate has also noticed this. Encouraged, Sam plans to talk to the individual the following day.","Sam: I don''t think he likes me.
Cathy: Of course he likes you.
Sam: How do u know. He''s not talking with me at all ;(
Cathy: He''s shy. He''s looking at u when u don''t see
Sam: Really? U sure?
Cathy: yes, even Kate noticed.
Sam: Hope u r right. I''ll talk with him tomorrow then.
Cathy: Go ahead, girl :D"
