,Unnamed: 0,DocID,Dialogue,Model,Summary,w/ Error,CorefE,CorefE_text,CircE,CircE_text,OutE,OutE_text,GramE,GramE_text,PredE,PredE_text,SubjObjE,SubjObjE_text,OtherE,OtherE_text,LinkE,LinkE_text,origin,SummaC-ZS_score,SummaC-Conv_score
0,0,13809941,"Thelma: i dont have anything to wear
Louisa: your wardrobe is full of clothes
Thelma: but i have to look wonderful
Louisa: ok i can bring you my red velvet dress
Thelma: really? :O
Thelma: it would be great!
Louisa: no problem ;)",human_ref,Louisa will lend Thelma her red velvet dress.,0,,,,,,,,,,,,,0.0,,,,FacEval,0.608673095703125,0.22406581044197083
1,1,13809941,"Thelma: i dont have anything to wear
Louisa: your wardrobe is full of clothes
Thelma: but i have to look wonderful
Louisa: ok i can bring you my red velvet dress
Thelma: really? :O
Thelma: it would be great!
Louisa: no problem ;)",bart_large,Thelma doesn't have anything to wear. Louisa will bring her her red velvet dress.,0,,,,,,,,,,,,,0.0,,,,FacEval,0.2719268798828125,0.3350069224834442
2,2,13809941,"Thelma: i dont have anything to wear
Louisa: your wardrobe is full of clothes
Thelma: but i have to look wonderful
Louisa: ok i can bring you my red velvet dress
Thelma: really? :O
Thelma: it would be great!
Louisa: no problem ;)",mv-bart_large,Thelma doesn't have anything to wear. Louisa will bring her her red velvet dress.,0,,,,,,,,,,,,,0.0,,,,FacEval,0.2719268798828125,0.3350069224834442
3,3,13809941,"Thelma: i dont have anything to wear
Louisa: your wardrobe is full of clothes
Thelma: but i have to look wonderful
Louisa: ok i can bring you my red velvet dress
Thelma: really? :O
Thelma: it would be great!
Louisa: no problem ;)",co-ref bart large,Thelma doesn't have anything to wear. Louisa will bring her red velvet dress.,0,,,,,,,,,,,,,0.0,,,,FacEval,0.0902099609375,0.3299209177494049
4,4,13809941,"Thelma: i dont have anything to wear
Louisa: your wardrobe is full of clothes
Thelma: but i have to look wonderful
Louisa: ok i can bring you my red velvet dress
Thelma: really? :O
Thelma: it would be great!
Louisa: no problem ;)",condigsum bart large,Louisa will bring Thelma her red velvet dress.,0,,,,,,,,,,,,,0.0,,,,FacEval,0.37432861328125,0.22406581044197083
5,5,13814886,"Emma: How was New Year's Eve? :)
Josh: nice, just a bunch of close friends at my place
Emma: sounds cosy
Josh: yeah we had some wine and played board games
Emma: sounds lame :P
Josh: haha nope just getting older
Josh: huge parties and dance clubs are not that exciting anymore
Emma: oh come on you are not 70
Josh: not 20 either ;)
Emma: haha
Josh: how was yours?
Josh: I saw some pictures on fb, did you go away?
Emma: yeah we drove to the seaside, visited bunch of clubs
Emma: ended up on the beach for midnight
Josh: wasn't it freezing?
Emma: had my beer jacket on :D
Josh: lol
Emma: I have a cold now
Josh: that's the risk of a beer jacket!",human_ref,Josh spent New Year's Eve with his close friends at his place. They drank some wine and played board games. Emma spent that evening by the sea and went clubbing. At midnight she was at the beach. She is ill now.,0,,,,,,,,,,,,,0.0,,,,FacEval,0.107647705078125,0.4423460066318512
6,6,13814886,"Emma: How was New Year's Eve? :)
Josh: nice, just a bunch of close friends at my place
Emma: sounds cosy
Josh: yeah we had some wine and played board games
Emma: sounds lame :P
Josh: haha nope just getting older
Josh: huge parties and dance clubs are not that exciting anymore
Emma: oh come on you are not 70
Josh: not 20 either ;)
Emma: haha
Josh: how was yours?
Josh: I saw some pictures on fb, did you go away?
Emma: yeah we drove to the seaside, visited bunch of clubs
Emma: ended up on the beach for midnight
Josh: wasn't it freezing?
Emma: had my beer jacket on :D
Josh: lol
Emma: I have a cold now
Josh: that's the risk of a beer jacket!",bart_large,Josh spent New Year's Eve with his friends. Emma went to the seaside and visited a few clubs.,0,,,,,,,,,,,,,0.0,,,,FacEval,0.4427032470703125,0.3567573130130768
7,7,13814886,"Emma: How was New Year's Eve? :)
Josh: nice, just a bunch of close friends at my place
Emma: sounds cosy
Josh: yeah we had some wine and played board games
Emma: sounds lame :P
Josh: haha nope just getting older
Josh: huge parties and dance clubs are not that exciting anymore
Emma: oh come on you are not 70
Josh: not 20 either ;)
Emma: haha
Josh: how was yours?
Josh: I saw some pictures on fb, did you go away?
Emma: yeah we drove to the seaside, visited bunch of clubs
Emma: ended up on the beach for midnight
Josh: wasn't it freezing?
Emma: had my beer jacket on :D
Josh: lol
Emma: I have a cold now
Josh: that's the risk of a beer jacket!",mv-bart_large,Emma went to the seaside for New Year's Eve and visited a bunch of clubs.,0,,,,,,,,,,,,,0.0,,,,FacEval,0.0174560546875,0.20654158294200897
8,8,13814886,"Emma: How was New Year's Eve? :)
Josh: nice, just a bunch of close friends at my place
Emma: sounds cosy
Josh: yeah we had some wine and played board games
Emma: sounds lame :P
Josh: haha nope just getting older
Josh: huge parties and dance clubs are not that exciting anymore
Emma: oh come on you are not 70
Josh: not 20 either ;)
Emma: haha
Josh: how was yours?
Josh: I saw some pictures on fb, did you go away?
Emma: yeah we drove to the seaside, visited bunch of clubs
Emma: ended up on the beach for midnight
Josh: wasn't it freezing?
Emma: had my beer jacket on :D
Josh: lol
Emma: I have a cold now
Josh: that's the risk of a beer jacket!",co-ref bart large,Josh spent New Year's Eve with his close friends. Emma went to the seaside and visited a bunch of clubs. She got a cold.,0,,,,,,,,,,,,,0.0,,,,FacEval,0.3580118815104167,0.490495502948761
9,9,13814886,"Emma: How was New Year's Eve? :)
Josh: nice, just a bunch of close friends at my place
Emma: sounds cosy
Josh: yeah we had some wine and played board games
Emma: sounds lame :P
Josh: haha nope just getting older
Josh: huge parties and dance clubs are not that exciting anymore
Emma: oh come on you are not 70
Josh: not 20 either ;)
Emma: haha
Josh: how was yours?
Josh: I saw some pictures on fb, did you go away?
Emma: yeah we drove to the seaside, visited bunch of clubs
Emma: ended up on the beach for midnight
Josh: wasn't it freezing?
Emma: had my beer jacket on :D
Josh: lol
Emma: I have a cold now
Josh: that's the risk of a beer jacket!",condigsum bart large,Emma and Josh spent New Year's Eve at Josh's place. They had some wine and played board games. Emma went to the seaside and visited a few clubs. She ended up on the beach for midnight. She has a cold now.,0,,,,,,,,,,,,,0.0,,,,FacEval,0.2873779296875,0.42943263053894043
