,DocID,Dialogue,Model,Summary,PredE,PredE_text,SubjObjE,SubjObjE_text,OutE,OutE_text,CorefE,CorefE_text,GramE,GramE_text,CircE,CircE_text,LinkE,LinkE_text,OthE,OthE_text,w/ Error
0,test_84,"#Person1#: Excuse me, I'm lost. Can you show me where I am in this map?
#Person2#: Er, let me see. Oh, look, you're right here. Pretty close to the Olympic Park.
#Person1#: That's great! It's not my day. I just have very bad sense of direction.
#Person2#: Is this your first time here? Where are you going?
#Person1#: I am supposed to go to Liu Ichang.
#Person2#: Oh, there are many Chinese antique stores. They get paintings, too. Do you get interested in them?
#Person1#: Yes. Yes. Can you tell me how to get there?
#Person2#: Wow, it is quite far away from here. I'm afraid you're gonna have to take Bus No. 713.",BART,##Person2# shows #Person1# the way to Liu Ichang.,no,,no,,no,,no,,no,,no,,no,,no,,0
1,test_84,"#Person1#: Excuse me, I'm lost. Can you show me where I am in this map?
#Person2#: Er, let me see. Oh, look, you're right here. Pretty close to the Olympic Park.
#Person1#: That's great! It's not my day. I just have very bad sense of direction.
#Person2#: Is this your first time here? Where are you going?
#Person1#: I am supposed to go to Liu Ichang.
#Person2#: Oh, there are many Chinese antique stores. They get paintings, too. Do you get interested in them?
#Person1#: Yes. Yes. Can you tell me how to get there?
#Person2#: Wow, it is quite far away from here. I'm afraid you're gonna have to take Bus No. 713.",UniLM,person2 shows person1 the way to liu ichang and tells person1 to take bus no . 713 .,no,,no,,no,,no,,no,,no,,no,,no,,0
2,test_84,"#Person1#: Excuse me, I'm lost. Can you show me where I am in this map?
#Person2#: Er, let me see. Oh, look, you're right here. Pretty close to the Olympic Park.
#Person1#: That's great! It's not my day. I just have very bad sense of direction.
#Person2#: Is this your first time here? Where are you going?
#Person1#: I am supposed to go to Liu Ichang.
#Person2#: Oh, there are many Chinese antique stores. They get paintings, too. Do you get interested in them?
#Person1#: Yes. Yes. Can you tell me how to get there?
#Person2#: Wow, it is quite far away from here. I'm afraid you're gonna have to take Bus No. 713.",MV-BART,#Person1# is lost and asks #Person2# for help. #Person1 #Person 2# shows #Person 1# the way to Liu Ichang and tells #Person#1# how to get to it.,no,,no,,no,,no,,yes,#Person1 #Person 2#,no,,no,,no,,1
3,test_84,"#Person1#: Excuse me, I'm lost. Can you show me where I am in this map?
#Person2#: Er, let me see. Oh, look, you're right here. Pretty close to the Olympic Park.
#Person1#: That's great! It's not my day. I just have very bad sense of direction.
#Person2#: Is this your first time here? Where are you going?
#Person1#: I am supposed to go to Liu Ichang.
#Person2#: Oh, there are many Chinese antique stores. They get paintings, too. Do you get interested in them?
#Person1#: Yes. Yes. Can you tell me how to get there?
#Person2#: Wow, it is quite far away from here. I'm afraid you're gonna have to take Bus No. 713.",CODS,#Person2# shows #Person1# the way to Liu Iichang. #Person2# tells #Person1# #Person1# is supposed to go to Liu Iichang. #Person2# tells #Person1# to take bus No.,yes,#Person2# tells #Person1#,no,,no,,no,,no,,no,,no,,no,,1
4,test_198,"#Person1#: OK, Let me just have a look at the information here. You've been with a company for 6 years.
#Person2#: That's right.
#Person1#: Do you feel the same way as you did 6 years ago?
#Person2#: Well, not really. I used to be more enthusiastic. Maybe it's because I'm older now.
#Person1#: Well. You're only 28. That's not exactly old. What else has changed?
#Person2#: I work longer hours now. I go home after 7 nearly every day, but I earn much more than before.
#Person1#: I see. What about the company? Is it helping you to develop new skills?
#Person2#: Yes, up to a point. I've done 2 management training courses in the last couple of years, so I think I'm ready for promotion now.
#Person1#: Do you get the opportunity to travel much?
#Person2#: Not much, but I don't really mind that. You see, I have to look after my mother.",BART,#2# tells #Person1# #Person2#'s been with the company for 6 years and has worked longer hours and done management training courses.,no,,no,,no,,no,,no,,no,,no,,no,,0
5,test_198,"#Person1#: OK, Let me just have a look at the information here. You've been with a company for 6 years.
#Person2#: That's right.
#Person1#: Do you feel the same way as you did 6 years ago?
#Person2#: Well, not really. I used to be more enthusiastic. Maybe it's because I'm older now.
#Person1#: Well. You're only 28. That's not exactly old. What else has changed?
#Person2#: I work longer hours now. I go home after 7 nearly every day, but I earn much more than before.
#Person1#: I see. What about the company? Is it helping you to develop new skills?
#Person2#: Yes, up to a point. I've done 2 management training courses in the last couple of years, so I think I'm ready for promotion now.
#Person1#: Do you get the opportunity to travel much?
#Person2#: Not much, but I don't really mind that. You see, I have to look after my mother.",UniLM,person2 tells person1 person2 hasn ' t felt the same way as 6 years ago because person2 has worked longer hours and has developed new skills . person2 doesn ' t mind traveling much because person2 has to look after person2 ' s mother .,yes,because person2 has worked longer hours and has developed new skills,no,,no,,no,,no,,no,,no,,no,,1
6,test_198,"#Person1#: OK, Let me just have a look at the information here. You've been with a company for 6 years.
#Person2#: That's right.
#Person1#: Do you feel the same way as you did 6 years ago?
#Person2#: Well, not really. I used to be more enthusiastic. Maybe it's because I'm older now.
#Person1#: Well. You're only 28. That's not exactly old. What else has changed?
#Person2#: I work longer hours now. I go home after 7 nearly every day, but I earn much more than before.
#Person1#: I see. What about the company? Is it helping you to develop new skills?
#Person2#: Yes, up to a point. I've done 2 management training courses in the last couple of years, so I think I'm ready for promotion now.
#Person1#: Do you get the opportunity to travel much?
#Person2#: Not much, but I don't really mind that. You see, I have to look after my mother.",MV-BART,"#Person2# has been with a company for 6 years and tells #Person1# about the changes in the company, including working hours, the ability to develop new skills, and the opportunity to travel.",no,,no,,no,,no,,no,,no,,no,,no,,0
7,test_198,"#Person1#: OK, Let me just have a look at the information here. You've been with a company for 6 years.
#Person2#: That's right.
#Person1#: Do you feel the same way as you did 6 years ago?
#Person2#: Well, not really. I used to be more enthusiastic. Maybe it's because I'm older now.
#Person1#: Well. You're only 28. That's not exactly old. What else has changed?
#Person2#: I work longer hours now. I go home after 7 nearly every day, but I earn much more than before.
#Person1#: I see. What about the company? Is it helping you to develop new skills?
#Person2#: Yes, up to a point. I've done 2 management training courses in the last couple of years, so I think I'm ready for promotion now.
#Person1#: Do you get the opportunity to travel much?
#Person2#: Not much, but I don't really mind that. You see, I have to look after my mother.",CODS,#Person1# interviews #Person2#. #Person2# thinks #Person2#'s ready for promotion now because #Person2# has done management training courses.,no,,no,,no,,no,,no,,no,,no,,no,,0
8,test_374,"#Person1#: I'll be checking out of the hotel in about 40 minutes.
#Person2#: Forty minutes or 40 seconds, ma'am, it doesn't matter, I'm ready for you.
#Person1#: Great! As you know, however, the day in New York has hardly begun.
#Person2#: There's nothing like getting an early start, ma'am.
#Person1#: What can I do with my baggage while I visit a few more tourist spots?
#Person2#: You can leave your baggage in our storage space, with a deposit.
#Person1#: Isn't my baggage enough of a deposit?
#Person2#: I wish it was, but it isn't. They will still want a credit card.
#Person1#: It's always something, isn't it? Let me think about this for a second.
#Person2#: Don't forget that you have very little time, ma'am, before you have to check out.",BART,##Person2# tells #Person1# she can leave her baggage in the storage space without a deposit.,no,,no,,no,,no,,no,,yes,without a deposit,no,,no,,1
9,test_374,"#Person1#: I'll be checking out of the hotel in about 40 minutes.
#Person2#: Forty minutes or 40 seconds, ma'am, it doesn't matter, I'm ready for you.
#Person1#: Great! As you know, however, the day in New York has hardly begun.
#Person2#: There's nothing like getting an early start, ma'am.
#Person1#: What can I do with my baggage while I visit a few more tourist spots?
#Person2#: You can leave your baggage in our storage space, with a deposit.
#Person1#: Isn't my baggage enough of a deposit?
#Person2#: I wish it was, but it isn't. They will still want a credit card.
#Person1#: It's always something, isn't it? Let me think about this for a second.
#Person2#: Don't forget that you have very little time, ma'am, before you have to check out.",UniLM,person1 will be checking out of the hotel in about 40 minutes . person2 advises person1 to leave the baggage in the storage space with a deposit .,no,,no,,no,,no,,no,,no,,no,,no,,0
