,DocID,Dialogue,Model,Summary,PredE,PredE_text,SubjObjE,SubjObjE_text,OutE,OutE_text,CorefE,CorefE_text,GramE,GramE_text,CircE,CircE_text,LinkE,LinkE_text,OthE,OthE_text,w/ Error
0,13729857,"Jane: hey david, you're coming home for christmas next week right?
David: of course
Jane: good
Jane: do you know what your dad would like for christmas?
Jane: i can't think of anything
David: you should get him an ipad
David: he can read books, email, watch movies, play games
Jane: ok, that sounds good, where can i get one?
David: i'll order it online and have it shipped home
Jane: thanks for your help
Jane: and please let me know when you'll get here once your travel arrangements are set.",BART,David is coming home for Christmas next week. He will buy his dad an ipad.,no,,no,,no,,no,,no,,no,,no,,no,,0
1,13729857,"Jane: hey david, you're coming home for christmas next week right?
David: of course
Jane: good
Jane: do you know what your dad would like for christmas?
Jane: i can't think of anything
David: you should get him an ipad
David: he can read books, email, watch movies, play games
Jane: ok, that sounds good, where can i get one?
David: i'll order it online and have it shipped home
Jane: thanks for your help
Jane: and please let me know when you'll get here once your travel arrangements are set.",UniLM,Jane is coming home for Christmas next week . David recommends Jane to buy his ipad . He will order it online and have it shipped home .,no,,yes,David,no,,yes,his,no,,no,,no,,no,,1
2,13729857,"Jane: hey david, you're coming home for christmas next week right?
David: of course
Jane: good
Jane: do you know what your dad would like for christmas?
Jane: i can't think of anything
David: you should get him an ipad
David: he can read books, email, watch movies, play games
Jane: ok, that sounds good, where can i get one?
David: i'll order it online and have it shipped home
Jane: thanks for your help
Jane: and please let me know when you'll get here once your travel arrangements are set.",MV-BART,David is coming home for Christmas next week and will buy an ipad for his dad. He will order it online and have it shipped home.,no,,no,,no,,no,,no,,no,,no,,no,,0
3,13729857,"Jane: hey david, you're coming home for christmas next week right?
David: of course
Jane: good
Jane: do you know what your dad would like for christmas?
Jane: i can't think of anything
David: you should get him an ipad
David: he can read books, email, watch movies, play games
Jane: ok, that sounds good, where can i get one?
David: i'll order it online and have it shipped home
Jane: thanks for your help
Jane: and please let me know when you'll get here once your travel arrangements are set.",CODS,David is coming home for Christmas next week. He will order it online and have it shipped home.,no,,no,,no,,yes,it,no,,no,,no,,no,,1
4,13863152,"Aldo: Hi, did you get my email?
Marco: Yes I did, thank you
Aldo: I hope you like my article
Aldo: It took me weeks to finish it
Marco: Ok, I'll print it and read it right now
Aldo: Thanks
Marco: How many pages is it?
Marco: Ok, got it, it's 12
Aldo: Yep, 12
Marco: Ok",BART,Aldo sent Marco his article. It's 12 pages long. Marco will print it and read it right now.,no,,no,,no,,no,,no,,no,,no,,no,,0
5,13863152,"Aldo: Hi, did you get my email?
Marco: Yes I did, thank you
Aldo: I hope you like my article
Aldo: It took me weeks to finish it
Marco: Ok, I'll print it and read it right now
Aldo: Thanks
Marco: How many pages is it?
Marco: Ok, got it, it's 12
Aldo: Yep, 12
Marco: Ok",UniLM,Marco will print and read Aldo ' s article .,no,,no,,no,,no,,no,,no,,no,,no,,0
6,13863152,"Aldo: Hi, did you get my email?
Marco: Yes I did, thank you
Aldo: I hope you like my article
Aldo: It took me weeks to finish it
Marco: Ok, I'll print it and read it right now
Aldo: Thanks
Marco: How many pages is it?
Marco: Ok, got it, it's 12
Aldo: Yep, 12
Marco: Ok",MV-BART,Aldo sent Marco his article. Marco will print and read it right now. It's 12 pages.,no,,no,,no,,no,,no,,no,,no,,no,,0
7,13863152,"Aldo: Hi, did you get my email?
Marco: Yes I did, thank you
Aldo: I hope you like my article
Aldo: It took me weeks to finish it
Marco: Ok, I'll print it and read it right now
Aldo: Thanks
Marco: How many pages is it?
Marco: Ok, got it, it's 12
Aldo: Yep, 12
Marco: Ok",CODS,Marco will print and read Aldo's 12-page article.,no,,no,,no,,no,,no,,no,,no,,no,,0
8,13728433,"Pete: What flavour yogurt did you want again? My brain is like a sieve today.
Jen: Pear but only if they've got it. Otherwise don't worry about it.
Pete: I'll have a look around. If they don't have pear can I get a different flavour?
Jen: I don't like any other flavour. If they don't have pear just don't get anything at all then.
Pete: OK.",BART,Pete will get the pear flavoured yogurt for Jen.,no,,no,,no,,no,,no,,no,,no,,no,,0
9,13728433,"Pete: What flavour yogurt did you want again? My brain is like a sieve today.
Jen: Pear but only if they've got it. Otherwise don't worry about it.
Pete: I'll have a look around. If they don't have pear can I get a different flavour?
Jen: I don't like any other flavour. If they don't have pear just don't get anything at all then.
Pete: OK.",UniLM,Pete is going to buy pear flavour yogurt .,no,,no,,no,,no,,no,,no,,no,,no,,0
10,13728433,"Pete: What flavour yogurt did you want again? My brain is like a sieve today.
Jen: Pear but only if they've got it. Otherwise don't worry about it.
Pete: I'll have a look around. If they don't have pear can I get a different flavour?
Jen: I don't like any other flavour. If they don't have pear just don't get anything at all then.
Pete: OK.",MV-BART,Jen wants pear yogurt. Pete will have a look around for it.,no,,no,,no,,no,,no,,no,,no,,no,,0
11,13728433,"Pete: What flavour yogurt did you want again? My brain is like a sieve today.
Jen: Pear but only if they've got it. Otherwise don't worry about it.
Pete: I'll have a look around. If they don't have pear can I get a different flavour?
Jen: I don't like any other flavour. If they don't have pear just don't get anything at all then.
Pete: OK.",CODS,Pete will buy the pear flavour on Jen's request.,no,,no,,no,,no,,no,,no,,no,,no,,0
12,13818537,"Judy: Why am I always attracted to jerks??
Janice: It didn’t work out with Andrew?
Judy: He just wanted to fuck me
Judy: When he got what he wanted he stopped calling and texting.
Janice: And Bruce? He’s not a jerk.
Judy: He’s sweet. Maybe too sweet for me…
Judy: He’s a lovely and caring guy but I don’t feel the butterflies… ",BART,Jud doesn't feel the butterflies about Bruce.,no,,yes,Jud,no,,no,,no,,no,,no,,no,,1
13,13818537,"Judy: Why am I always attracted to jerks??
Janice: It didn’t work out with Andrew?
Judy: He just wanted to fuck me
Judy: When he got what he wanted he stopped calling and texting.
Janice: And Bruce? He’s not a jerk.
Judy: He’s sweet. Maybe too sweet for me…
Judy: He’s a lovely and caring guy but I don’t feel the butterflies… ",UniLM,Judy is upset because she is attracted to jerks .,no,,no,,no,,no,,no,,no,,no,,no,,0
14,13818537,"Judy: Why am I always attracted to jerks??
Janice: It didn’t work out with Andrew?
Judy: He just wanted to fuck me
Judy: When he got what he wanted he stopped calling and texting.
Janice: And Bruce? He’s not a jerk.
Judy: He’s sweet. Maybe too sweet for me…
Judy: He’s a lovely and caring guy but I don’t feel the butterflies… ",MV-BART,Judy is attracted to jerks. It didn't work out with Andrew. Bruce is sweet but he's too sweet for her.,no,,no,,no,,no,,no,,no,,no,,no,,0
15,13818537,"Judy: Why am I always attracted to jerks??
Janice: It didn’t work out with Andrew?
Judy: He just wanted to fuck me
Judy: When he got what he wanted he stopped calling and texting.
Janice: And Bruce? He’s not a jerk.
Judy: He’s sweet. Maybe too sweet for me…
Judy: He’s a lovely and caring guy but I don’t feel the butterflies… ",CODS,"Judy is attracted to jerks, but she doesn't feel the butterflies around Bruce.",no,,no,,no,,no,,yes,around,no,,no,,no,,1
