,Dialogue,Model,Summary,origin,Annotations,Reference_Summary
0,"Natacha: hi, i can come and pick you up at the RER.
Charles: so  nice. I just landed. I think i'll arrive about 5:30pm. I'll give you a call
Natacha: ok ,call  me when  you'll be at the station Vesinet.
Charles: thanks . see you",gpt3_finetune,Charles will probably arrive at the train station Vesinet at 5:30 pm. Natacha will pick him up.,SAMSum,"{'Charles will probably arrive at the train station Vesinet at 5:30 pm.': [('at 5:30 pm', 'intrinsic', 'CirE')]}",Charles has just landed and he will be at RER about 5.30 PM. Natacha will pick him up from there.
1,"Natacha: hi, i can come and pick you up at the RER.
Charles: so  nice. I just landed. I think i'll arrive about 5:30pm. I'll give you a call
Natacha: ok ,call  me when  you'll be at the station Vesinet.
Charles: thanks . see you",pegasus,Natacha will pick Charles up at the RER at 5:30 pm. Charles will be at the station Vesinet at 5:30 pm. Charles will call Natacha when he arrives.,SAMSum,"{'Natacha will pick Charles up at the RER at 5:30 pm.': [('5:30 pm', 'intrinsic', 'CirE')], 'Charles will be at the station Vesinet at 5:30 pm.': [('Vesinet', 'intrinsic', 'CirE')]}",Charles has just landed and he will be at RER about 5.30 PM. Natacha will pick him up from there.
2,"Natacha: hi, i can come and pick you up at the RER.
Charles: so  nice. I just landed. I think i'll arrive about 5:30pm. I'll give you a call
Natacha: ok ,call  me when  you'll be at the station Vesinet.
Charles: thanks . see you",structure_aware_bart,Natacha will pick Charles up at the RER at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the RER at 5:30 pm.': [('at 5:30 pm', 'intrinsic', 'CirE')]}",Charles has just landed and he will be at RER about 5.30 PM. Natacha will pick him up from there.
3,"Natacha: hi, i can come and pick you up at the RER.
Charles: so  nice. I just landed. I think i'll arrive about 5:30pm. I'll give you a call
Natacha: ok ,call  me when  you'll be at the station Vesinet.
Charles: thanks . see you",condigsum,Natacha will pick Charles up at the RER station Vesinet at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the RER station Vesinet at 5:30 pm.': [('the RER station Vesinet', 'intrinsic', 'CirE')]}",Charles has just landed and he will be at RER about 5.30 PM. Natacha will pick him up from there.
4,"Natacha: hi, i can come and pick you up at the RER.
Charles: so  nice. I just landed. I think i'll arrive about 5:30pm. I'll give you a call
Natacha: ok ,call  me when  you'll be at the station Vesinet.
Charles: thanks . see you",bart,Natacha will pick Charles up at the station Vesinet at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the station Vesinet at 5:30 pm.': [('Vesinet', 'intrinsic', 'CirE')]}",Charles has just landed and he will be at RER about 5.30 PM. Natacha will pick him up from there.
5,"Sally: Hi guys have you heard about Natalie?
Tom: No. What about her?
Jane: You're such a gossip girl, Sally!
Sally: Come on! I'm sure you're all curious.
Tom: I am.
Sally: Relax Jane, what's your problem?!
Jane: She told us in confidence, I don't think we should share it with others.
Greg: Now I'm also curious
Henriette: Tell us!
Henriette: Is she pregnant?
Sally: 💣💣💣
Sally: Guess who's the father!!!
Henriette: I knew it!
Henriette: Is it Mike?
Sally: Dave!!!
Henriette: WHAT????
Greg: That's insane!",gpt3_finetune,Natalie had a one-night stand with Dave and she is not pregnant.,SAMSum,"{'Natalie had a one-night stand with Dave and she is not pregnant.': [('a one-night stand', 'extrinsic', 'EntE')]}",Natalie is pregnant with Dave. Jane didn't think Sally should share it with others as Natalie told them that in confidence. Henriette and Greg are surprised that the father is Dave not Mike.
6,"Sally: Hi guys have you heard about Natalie?
Tom: No. What about her?
Jane: You're such a gossip girl, Sally!
Sally: Come on! I'm sure you're all curious.
Tom: I am.
Sally: Relax Jane, what's your problem?!
Jane: She told us in confidence, I don't think we should share it with others.
Greg: Now I'm also curious
Henriette: Tell us!
Henriette: Is she pregnant?
Sally: 💣💣💣
Sally: Guess who's the father!!!
Henriette: I knew it!
Henriette: Is it Mike?
Sally: Dave!!!
Henriette: WHAT????
Greg: That's insane!",condigsum,Natalie is pregnant. She told her friends in confidence. Dave is the father.,SAMSum,{},Natalie is pregnant with Dave. Jane didn't think Sally should share it with others as Natalie told them that in confidence. Henriette and Greg are surprised that the father is Dave not Mike.
7,"Sally: Hi guys have you heard about Natalie?
Tom: No. What about her?
Jane: You're such a gossip girl, Sally!
Sally: Come on! I'm sure you're all curious.
Tom: I am.
Sally: Relax Jane, what's your problem?!
Jane: She told us in confidence, I don't think we should share it with others.
Greg: Now I'm also curious
Henriette: Tell us!
Henriette: Is she pregnant?
Sally: 💣💣💣
Sally: Guess who's the father!!!
Henriette: I knew it!
Henriette: Is it Mike?
Sally: Dave!!!
Henriette: WHAT????
Greg: That's insane!",structure_aware_bart,Natalie told Tom and Jane that she is pregnant.,SAMSum,"{'Natalie told Tom and Jane that she is pregnant.': [('Tom', 'intrinsic', 'EntE')]}",Natalie is pregnant with Dave. Jane didn't think Sally should share it with others as Natalie told them that in confidence. Henriette and Greg are surprised that the father is Dave not Mike.
8,"Sally: Hi guys have you heard about Natalie?
Tom: No. What about her?
Jane: You're such a gossip girl, Sally!
Sally: Come on! I'm sure you're all curious.
Tom: I am.
Sally: Relax Jane, what's your problem?!
Jane: She told us in confidence, I don't think we should share it with others.
Greg: Now I'm also curious
Henriette: Tell us!
Henriette: Is she pregnant?
Sally: 💣💣💣
Sally: Guess who's the father!!!
Henriette: I knew it!
Henriette: Is it Mike?
Sally: Dave!!!
Henriette: WHAT????
Greg: That's insane!",bart,Natalie is pregnant. Dave is the father.,SAMSum,{},Natalie is pregnant with Dave. Jane didn't think Sally should share it with others as Natalie told them that in confidence. Henriette and Greg are surprised that the father is Dave not Mike.
9,"Sally: Hi guys have you heard about Natalie?
Tom: No. What about her?
Jane: You're such a gossip girl, Sally!
Sally: Come on! I'm sure you're all curious.
Tom: I am.
Sally: Relax Jane, what's your problem?!
Jane: She told us in confidence, I don't think we should share it with others.
Greg: Now I'm also curious
Henriette: Tell us!
Henriette: Is she pregnant?
Sally: 💣💣💣
Sally: Guess who's the father!!!
Henriette: I knew it!
Henriette: Is it Mike?
Sally: Dave!!!
Henriette: WHAT????
Greg: That's insane!",pegasus,"Sally, Tom, Jane and Henriette are curious about Natalie's pregnancy. Natalie told them in confidence that she's pregnant. Henriette knows who's the father.",SAMSum,"{""Sally, Tom, Jane and Henriette are curious about Natalie's pregnancy."": [('Sally, Tom, Jane and Henriette', 'intrinsic', 'EntE')], ""Henriette knows who's the father."": [('knows', 'intrinsic', 'PredE')]}",Natalie is pregnant with Dave. Jane didn't think Sally should share it with others as Natalie told them that in confidence. Henriette and Greg are surprised that the father is Dave not Mike.
10,"Alan: <file_photo>
Alan: look what I just found :)
Robert: dude, that's just nasty and you know it :)
Robert: it has no sugar, no taste, and additional cinnamon flavoring
Alan: yeah, I know - that's awesome :)
Robert: you sir have a very strange tastes :P
Alan: well, and I found a perfect company for it <file_photo>
Robert: oh, that's more like it!
Robert: but does the whiskey go well with the cinnamon? flavored whiskey is the worst...
Alan: Actually it does taste surprisingly well. The cinnamon is not overpowering. If you put enough whiskey that is :)
Rob: Lol, thought so :)
Rob: I just wish the brought the old cherry flavor back...
Rob: not the useless no-sugar stuff
Alan: Ah, that is true :)",pegasus,"Alan found a whiskey that has no sugar, no taste, and cinnamon flavoring. It tastes good. Rob wishes he could bring back the old cherry flavor.",SAMSum,"{'Alan found a whiskey that has no sugar, no taste, and cinnamon flavoring.': [('a whiskey', 'intrinsic', 'EntE')], 'Rob wishes he could bring back the old cherry flavor.': [('he', 'n/a', 'CorefE')]}",Alan has found some cinnamon whiskey and sends Robert photos of it. 
11,"Alan: <file_photo>
Alan: look what I just found :)
Robert: dude, that's just nasty and you know it :)
Robert: it has no sugar, no taste, and additional cinnamon flavoring
Alan: yeah, I know - that's awesome :)
Robert: you sir have a very strange tastes :P
Alan: well, and I found a perfect company for it <file_photo>
Robert: oh, that's more like it!
Robert: but does the whiskey go well with the cinnamon? flavored whiskey is the worst...
Alan: Actually it does taste surprisingly well. The cinnamon is not overpowering. If you put enough whiskey that is :)
Rob: Lol, thought so :)
Rob: I just wish the brought the old cherry flavor back...
Rob: not the useless no-sugar stuff
Alan: Ah, that is true :)",bart,"Alan has found a product that has no sugar, no taste, and additional cinnamon flavoring. The whiskey goes well with the cinnamon. Rob would like the old cherry flavor back.",SAMSum,{},Alan has found some cinnamon whiskey and sends Robert photos of it. 
12,"Alan: <file_photo>
Alan: look what I just found :)
Robert: dude, that's just nasty and you know it :)
Robert: it has no sugar, no taste, and additional cinnamon flavoring
Alan: yeah, I know - that's awesome :)
Robert: you sir have a very strange tastes :P
Alan: well, and I found a perfect company for it <file_photo>
Robert: oh, that's more like it!
Robert: but does the whiskey go well with the cinnamon? flavored whiskey is the worst...
Alan: Actually it does taste surprisingly well. The cinnamon is not overpowering. If you put enough whiskey that is :)
Rob: Lol, thought so :)
Rob: I just wish the brought the old cherry flavor back...
Rob: not the useless no-sugar stuff
Alan: Ah, that is true :)",condigsum,"Alan has found a product that has no sugar, no taste, and additional cinnamon flavoring. It tastes surprisingly well with whiskey.",SAMSum,{},Alan has found some cinnamon whiskey and sends Robert photos of it. 
13,"Alan: <file_photo>
Alan: look what I just found :)
Robert: dude, that's just nasty and you know it :)
Robert: it has no sugar, no taste, and additional cinnamon flavoring
Alan: yeah, I know - that's awesome :)
Robert: you sir have a very strange tastes :P
Alan: well, and I found a perfect company for it <file_photo>
Robert: oh, that's more like it!
Robert: but does the whiskey go well with the cinnamon? flavored whiskey is the worst...
Alan: Actually it does taste surprisingly well. The cinnamon is not overpowering. If you put enough whiskey that is :)
Rob: Lol, thought so :)
Rob: I just wish the brought the old cherry flavor back...
Rob: not the useless no-sugar stuff
Alan: Ah, that is true :)",structure_aware_bart,"Alan found a company that has no sugar, no taste and no cinnamon flavoring. Robert and Rob are not impressed.",SAMSum,"{'Alan found a company that has no sugar, no taste and no cinnamon flavoring.': [('a company', 'intrinsic', 'EntE')], 'Robert and Rob are not impressed.': [('not impressed', 'extrinsic', 'PredE')]}",Alan has found some cinnamon whiskey and sends Robert photos of it. 
14,"Alan: <file_photo>
Alan: look what I just found :)
Robert: dude, that's just nasty and you know it :)
Robert: it has no sugar, no taste, and additional cinnamon flavoring
Alan: yeah, I know - that's awesome :)
Robert: you sir have a very strange tastes :P
Alan: well, and I found a perfect company for it <file_photo>
Robert: oh, that's more like it!
Robert: but does the whiskey go well with the cinnamon? flavored whiskey is the worst...
Alan: Actually it does taste surprisingly well. The cinnamon is not overpowering. If you put enough whiskey that is :)
Rob: Lol, thought so :)
Rob: I just wish the brought the old cherry flavor back...
Rob: not the useless no-sugar stuff
Alan: Ah, that is true :)",gpt3_finetune,Alan just consumed the cinnamon flavoured Budweiser. Robert doesn't like flavoured whiskey rather he prefers to drink the original one. Alan's found a supplier for flavored whiskey. Robert prefers the original one.,SAMSum,"{'Alan just consumed the cinnamon flavoured Budweiser.': [('Budweiser', 'extrinsic', 'EntE')], ""Robert doesn't like flavoured whiskey rather he prefers to drink the original one."": [('Robert', 'intrinsic', 'EntE')], ""Alan's found a supplier for flavored whiskey."": [('a supplier', 'extrinsic', 'EntE')], 'Robert prefers the original one.': [('Robert', 'intrinsic', 'EntE')]}",Alan has found some cinnamon whiskey and sends Robert photos of it. 
15,"Kane: have you heard the new 30 seconds to mars album?
Shannon: no, is it good?
Kane: you should so check it out
Shannon: ok thanks for the recommendation
Kane: no prob",bart,Shannon hasn't heard the new 30 seconds to mars album. Kane recommends it to her.,SAMSum,{},Kane recommends the new 30 Seconds to Mars album to Shannon.
