,Unnamed: 0,Dialogue,Model,Summary,origin,Annotations,Reference_Summary,Errors,fewshot_span_f1,fewshot_span_acc,fewshot_gpt_text,zeroshot_span_f1,zeroshot_span_acc,zeroshot_gpt_text
0,0,"Natacha: hi, i can come and pick you up at the RER.
Charles: so  nice. I just landed. I think i'll arrive about 5:30pm. I'll give you a call
Natacha: ok ,call  me when  you'll be at the station Vesinet.
Charles: thanks . see you",gpt3_finetune,Charles will probably arrive at the train station Vesinet at 5:30 pm. Natacha will pick him up.,SAMSum,"{'Charles will probably arrive at the train station Vesinet at 5:30 pm.': [('at 5:30 pm', 'intrinsic', 'CirE')]}",Charles has just landed and he will be at RER about 5.30 PM. Natacha will pick him up from there.,1,0.15384615384615383,0.0,"Charles
will probably arrive at the train station Vesinet at 5:30 pm
Natacha will pick him up.",0.0,0.0,No inconsistent spans.
1,1,"Natacha: hi, i can come and pick you up at the RER.
Charles: so  nice. I just landed. I think i'll arrive about 5:30pm. I'll give you a call
Natacha: ok ,call  me when  you'll be at the station Vesinet.
Charles: thanks . see you",pegasus,Natacha will pick Charles up at the RER at 5:30 pm. Charles will be at the station Vesinet at 5:30 pm. Charles will call Natacha when he arrives.,SAMSum,"{'Natacha will pick Charles up at the RER at 5:30 pm.': [('5:30 pm', 'intrinsic', 'CirE')], 'Charles will be at the station Vesinet at 5:30 pm.': [('Vesinet', 'intrinsic', 'CirE')]}",Charles has just landed and he will be at RER about 5.30 PM. Natacha will pick him up from there.,2,0.23232323232323235,0.0,"Natacha will pick Charles up at the RER at 5:30 pm
Charles will be at the station Vesinet at 5:30 pm
Charles will call Natacha when he arrives",0.3484848484848485,0.0,"""Natacha will pick Charles up at the RER at 5:30 pm.""
""Charles will be at the station Vesinet at 5:30 pm."""
2,2,"Natacha: hi, i can come and pick you up at the RER.
Charles: so  nice. I just landed. I think i'll arrive about 5:30pm. I'll give you a call
Natacha: ok ,call  me when  you'll be at the station Vesinet.
Charles: thanks . see you",structure_aware_bart,Natacha will pick Charles up at the RER at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the RER at 5:30 pm.': [('at 5:30 pm', 'intrinsic', 'CirE')]}",Charles has just landed and he will be at RER about 5.30 PM. Natacha will pick him up from there.,1,0.4615384615384615,0.0,Natacha will pick Charles up at the RER at 5:30 pm.,0.4615384615384615,0.0,"""Natacha will pick Charles up at the RER at 5:30 pm."""
3,3,"Natacha: hi, i can come and pick you up at the RER.
Charles: so  nice. I just landed. I think i'll arrive about 5:30pm. I'll give you a call
Natacha: ok ,call  me when  you'll be at the station Vesinet.
Charles: thanks . see you",condigsum,Natacha will pick Charles up at the RER station Vesinet at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the RER station Vesinet at 5:30 pm.': [('the RER station Vesinet', 'intrinsic', 'CirE')]}",Charles has just landed and he will be at RER about 5.30 PM. Natacha will pick him up from there.,1,0.5,0.0,Natacha will pick Charles up at the RER station Vesinet at 5:30 pm.,0.0,0.0,"""at 5:30 pm."""
4,4,"Natacha: hi, i can come and pick you up at the RER.
Charles: so  nice. I just landed. I think i'll arrive about 5:30pm. I'll give you a call
Natacha: ok ,call  me when  you'll be at the station Vesinet.
Charles: thanks . see you",bart,Natacha will pick Charles up at the station Vesinet at 5:30 pm.,SAMSum,"{'Natacha will pick Charles up at the station Vesinet at 5:30 pm.': [('Vesinet', 'intrinsic', 'CirE')]}",Charles has just landed and he will be at RER about 5.30 PM. Natacha will pick him up from there.,1,0.16666666666666669,0.0,Natacha will pick Charles up at the station Vesinet at 5:30 pm.,0.0,0.0,"""at 5:30 pm"""
5,5,"Sally: Hi guys have you heard about Natalie?
Tom: No. What about her?
Jane: You're such a gossip girl, Sally!
Sally: Come on! I'm sure you're all curious.
Tom: I am.
Sally: Relax Jane, what's your problem?!
Jane: She told us in confidence, I don't think we should share it with others.
Greg: Now I'm also curious
Henriette: Tell us!
Henriette: Is she pregnant?
Sally: 💣💣💣
Sally: Guess who's the father!!!
Henriette: I knew it!
Henriette: Is it Mike?
Sally: Dave!!!
Henriette: WHAT????
Greg: That's insane!",gpt3_finetune,Natalie had a one-night stand with Dave and she is not pregnant.,SAMSum,"{'Natalie had a one-night stand with Dave and she is not pregnant.': [('a one-night stand', 'extrinsic', 'EntE')]}",Natalie is pregnant with Dave. Jane didn't think Sally should share it with others as Natalie told them that in confidence. Henriette and Greg are surprised that the father is Dave not Mike.,1,0.4,0.0,Natalie had a one-night stand with Dave and she is not pregnant.,0.42857142857142855,0.0,"""Natalie had a one-night stand with Dave"", ""she is not pregnant."""
6,6,"Sally: Hi guys have you heard about Natalie?
Tom: No. What about her?
Jane: You're such a gossip girl, Sally!
Sally: Come on! I'm sure you're all curious.
Tom: I am.
Sally: Relax Jane, what's your problem?!
Jane: She told us in confidence, I don't think we should share it with others.
Greg: Now I'm also curious
Henriette: Tell us!
Henriette: Is she pregnant?
Sally: 💣💣💣
Sally: Guess who's the father!!!
Henriette: I knew it!
Henriette: Is it Mike?
Sally: Dave!!!
Henriette: WHAT????
Greg: That's insane!",condigsum,Natalie is pregnant. She told her friends in confidence. Dave is the father.,SAMSum,{},Natalie is pregnant with Dave. Jane didn't think Sally should share it with others as Natalie told them that in confidence. Henriette and Greg are surprised that the father is Dave not Mike.,0,0.0,0.0,"Natalie is pregnant. 
She told her friends in confidence. 
Dave is the father.",1.0,1.0,None
7,7,"Sally: Hi guys have you heard about Natalie?
Tom: No. What about her?
Jane: You're such a gossip girl, Sally!
Sally: Come on! I'm sure you're all curious.
Tom: I am.
Sally: Relax Jane, what's your problem?!
Jane: She told us in confidence, I don't think we should share it with others.
Greg: Now I'm also curious
Henriette: Tell us!
Henriette: Is she pregnant?
Sally: 💣💣💣
Sally: Guess who's the father!!!
Henriette: I knew it!
Henriette: Is it Mike?
Sally: Dave!!!
Henriette: WHAT????
Greg: That's insane!",structure_aware_bart,Natalie told Tom and Jane that she is pregnant.,SAMSum,"{'Natalie told Tom and Jane that she is pregnant.': [('Tom', 'intrinsic', 'EntE')]}",Natalie is pregnant with Dave. Jane didn't think Sally should share it with others as Natalie told them that in confidence. Henriette and Greg are surprised that the father is Dave not Mike.,1,0.19999999999999998,0.0,Natalie told Tom and Jane that she is pregnant.,0.19999999999999998,0.0,"""Natalie told Tom and Jane that she is pregnant."""
8,8,"Sally: Hi guys have you heard about Natalie?
Tom: No. What about her?
Jane: You're such a gossip girl, Sally!
Sally: Come on! I'm sure you're all curious.
Tom: I am.
Sally: Relax Jane, what's your problem?!
Jane: She told us in confidence, I don't think we should share it with others.
Greg: Now I'm also curious
Henriette: Tell us!
Henriette: Is she pregnant?
Sally: 💣💣💣
Sally: Guess who's the father!!!
Henriette: I knew it!
Henriette: Is it Mike?
Sally: Dave!!!
Henriette: WHAT????
Greg: That's insane!",bart,Natalie is pregnant. Dave is the father.,SAMSum,{},Natalie is pregnant with Dave. Jane didn't think Sally should share it with others as Natalie told them that in confidence. Henriette and Greg are surprised that the father is Dave not Mike.,0,0.0,0.0,"Natalie is pregnant
Dave is the father",1.0,1.0,None
9,9,"Sally: Hi guys have you heard about Natalie?
Tom: No. What about her?
Jane: You're such a gossip girl, Sally!
Sally: Come on! I'm sure you're all curious.
Tom: I am.
Sally: Relax Jane, what's your problem?!
Jane: She told us in confidence, I don't think we should share it with others.
Greg: Now I'm also curious
Henriette: Tell us!
Henriette: Is she pregnant?
Sally: 💣💣💣
Sally: Guess who's the father!!!
Henriette: I knew it!
Henriette: Is it Mike?
Sally: Dave!!!
Henriette: WHAT????
Greg: That's insane!",pegasus,"Sally, Tom, Jane and Henriette are curious about Natalie's pregnancy. Natalie told them in confidence that she's pregnant. Henriette knows who's the father.",SAMSum,"{""Sally, Tom, Jane and Henriette are curious about Natalie's pregnancy."": [('Sally, Tom, Jane and Henriette', 'intrinsic', 'EntE')], ""Henriette knows who's the father."": [('knows', 'intrinsic', 'PredE')]}",Natalie is pregnant with Dave. Jane didn't think Sally should share it with others as Natalie told them that in confidence. Henriette and Greg are surprised that the father is Dave not Mike.,2,0.5625,0.5,"Sally, Tom, Jane and Henriette
Natalie's pregnancy. Natalie told them in confidence that she's pregnant. Henriette knows who's the father.",0.16666666666666669,0.0,"""Natalie told them in confidence that she's pregnant.""
""Henriette knows who's the father."""
